# Total Bytes Sent
# simtime, fwdTotalBytesSent
100.000000, 0
200.000000, 0
300.000000, 0
400.000000, 0
500.000000, 0
600.000000, 0
700.000000, 0
800.000000, 0
900.000000, 0
1000.000000, 0
1100.000000, 0
1200.000000, 0
1300.000000, 0
1400.000000, 0
1500.000000, 0
1600.000000, 0
1700.000000, 0
1800.000000, 0
1900.000000, 0
2000.000000, 0
2100.000000, 0
2200.000000, 0
2300.000000, 0
2400.000000, 0
2500.000000, 0
2600.000000, 0
2700.000000, 0
2800.000000, 0
2900.000000, 0
3000.000000, 0
3100.000000, 0
3200.000000, 0
3300.000000, 0
3400.000000, 0
3500.000000, 0
3600.000000, 0
3700.000000, 0
3800.000000, 0
3900.000000, 0
4000.000000, 0
4100.000000, 0
4200.000000, 0
4300.000000, 0
4400.000000, 0
4500.000000, 0
4600.000000, 0
4700.000000, 0
4800.000000, 0
4900.000000, 0
5000.000000, 0
5100.000000, 0
5200.000000, 0
5300.000000, 0
5400.000000, 0
5500.000000, 0
5600.000000, 32
5700.000000, 28871
5800.000000, 28871
5900.000000, 64894
6000.000000, 64958
6100.000000, 69206
6200.000000, 88217
6300.000000, 88313
6400.000000, 88377
6500.000000, 88441
6600.000000, 88537
6700.000000, 88633
6800.000000, 88697
6900.000000, 92513
7000.000000, 104781
7100.000000, 105037
7200.000000, 105525
7300.000000, 176463
7400.000000, 303629
7500.000000, 329030
7600.000000, 446448
7700.000000, 522389
7800.000000, 746584
7900.000000, 1091202
8000.000000, 1309778
8100.000000, 1915097
8200.000000, 2581225
8300.000000, 3554265
8400.000000, 4368234
8500.000000, 6103022
8600.000000, 7009005
8700.000000, 9177144
8800.000000, 10117289
8900.000000, 11171433
9000.000000, 13157205
9100.000000, 14539400
9200.000000, 15344969
9300.000000, 15535232
9400.000000, 16457937
9500.000000, 17189746
9600.000000, 17243842
9700.000000, 17737545
9800.000000, 19193750
9900.000000, 20148632
10000.000000, 21193789
10100.000000, 21574259
10200.000000, 21774838
10300.000000, 22093744
10400.000000, 22164372
10500.000000, 22175264
10600.000000, 24056102
10700.000000, 24063310
10800.000000, 24070050
10900.000000, 25188552
11000.000000, 25302404
11100.000000, 26413136
11200.000000, 26664196
11300.000000, 26680188
11400.000000, 27030356
11500.000000, 27305187
11600.000000, 27979509
11700.000000, 28253242
11800.000000, 28587822
11900.000000, 28682904
12000.000000, 29457059
