# Total Contact Count
# simtime, linkContactCount
100.000000, 0
200.000000, 0
300.000000, 0
400.000000, 0
500.000000, 0
600.000000, 0
700.000000, 0
800.000000, 0
900.000000, 0
1000.000000, 0
1100.000000, 0
1200.000000, 0
1300.000000, 0
1400.000000, 0
1500.000000, 0
1600.000000, 0
1700.000000, 0
1800.000000, 0
1900.000000, 0
2000.000000, 0
2100.000000, 0
2200.000000, 0
2300.000000, 0
2400.000000, 0
2500.000000, 0
2600.000000, 0
2700.000000, 0
2800.000000, 0
2900.000000, 0
3000.000000, 0
3100.000000, 0
3200.000000, 0
3300.000000, 0
3400.000000, 0
3500.000000, 0
3600.000000, 0
3700.000000, 0
3800.000000, 0
3900.000000, 0
4000.000000, 0
4100.000000, 0
4200.000000, 0
4300.000000, 0
4400.000000, 0
4500.000000, 0
4600.000000, 0
4700.000000, 0
4800.000000, 0
4900.000000, 0
5000.000000, 0
5100.000000, 0
5200.000000, 0
5300.000000, 0
5400.000000, 0
5500.000000, 0
5600.000000, 0
5700.000000, 0
5800.000000, 0
5900.000000, 0
6000.000000, 0
6100.000000, 0
6200.000000, 0
6300.000000, 0
6400.000000, 0
6500.000000, 0
6600.000000, 0
6700.000000, 0
6800.000000, 0
6900.000000, 0
7000.000000, 0
7100.000000, 0
7200.000000, 0
7300.000000, 1
7400.000000, 11
7500.000000, 15
7600.000000, 22
7700.000000, 30
7800.000000, 34
7900.000000, 40
8000.000000, 43
8100.000000, 43
8200.000000, 47
8300.000000, 52
8400.000000, 55
8500.000000, 57
8600.000000, 60
8700.000000, 64
8800.000000, 68
8900.000000, 70
9000.000000, 78
9100.000000, 84
9200.000000, 86
9300.000000, 94
9400.000000, 100
9500.000000, 102
9600.000000, 104
9700.000000, 109
9800.000000, 113
9900.000000, 119
10000.000000, 124
10100.000000, 129
10200.000000, 135
10300.000000, 137
10400.000000, 140
10500.000000, 145
10600.000000, 149
10700.000000, 151
10800.000000, 158
10900.000000, 162
11000.000000, 169
11100.000000, 172
11200.000000, 176
11300.000000, 180
11400.000000, 183
11500.000000, 184
11600.000000, 189
11700.000000, 193
11800.000000, 198
11900.000000, 199
12000.000000, 200
12100.000000, 201
12200.000000, 207
12300.000000, 211
12400.000000, 212
12500.000000, 215
12600.000000, 218
12700.000000, 222
12800.000000, 226
12900.000000, 228
13000.000000, 228
13100.000000, 233
13200.000000, 238
