# Total Bytes Sent
# simtime, fwdTotalBytesSent
100.000000, 0
200.000000, 45439
300.000000, 109829
400.000000, 109829
500.000000, 128844
600.000000, 128916
700.000000, 128916
800.000000, 128988
900.000000, 129060
1000.000000, 129060
1100.000000, 129132
1200.000000, 129204
1300.000000, 129204
1400.000000, 129276
1500.000000, 129348
1600.000000, 129348
1700.000000, 129420
1800.000000, 129492
1900.000000, 129492
2000.000000, 129564
2100.000000, 129636
2200.000000, 129636
2300.000000, 129708
2400.000000, 129780
2500.000000, 129780
2600.000000, 129852
2700.000000, 129924
2800.000000, 129924
2900.000000, 129996
3000.000000, 130068
3100.000000, 130068
3200.000000, 130140
3300.000000, 130212
3400.000000, 130212
3500.000000, 130284
3600.000000, 130356
3700.000000, 130356
3800.000000, 130404
3900.000000, 130500
4000.000000, 130500
4100.000000, 130500
4200.000000, 130644
4300.000000, 130644
4400.000000, 130644
4500.000000, 130788
4600.000000, 130788
4700.000000, 130788
4800.000000, 130932
4900.000000, 130932
5000.000000, 130932
5100.000000, 131076
5200.000000, 131076
5300.000000, 131076
5400.000000, 131220
5500.000000, 131220
5600.000000, 131220
5700.000000, 131364
5800.000000, 131364
5900.000000, 131364
6000.000000, 131508
6100.000000, 131508
6200.000000, 131508
6300.000000, 131652
6400.000000, 131652
6500.000000, 131652
6600.000000, 131796
6700.000000, 131796
6800.000000, 131796
6900.000000, 131940
7000.000000, 131940
7100.000000, 131940
7200.000000, 132084
7300.000000, 132084
7400.000000, 132084
7500.000000, 132228
7600.000000, 132228
7700.000000, 132228
7800.000000, 132372
7900.000000, 132372
8000.000000, 132372
8100.000000, 132516
8200.000000, 132516
8300.000000, 132516
8400.000000, 132660
8500.000000, 132660
8600.000000, 132660
8700.000000, 132804
8800.000000, 132804
8900.000000, 132804
9000.000000, 132948
9100.000000, 132948
9200.000000, 132948
9300.000000, 133092
9400.000000, 133092
9500.000000, 133092
9600.000000, 133236
9700.000000, 133236
9800.000000, 133236
9900.000000, 133380
10000.000000, 133380
10100.000000, 133380
10200.000000, 133524
10300.000000, 133524
10400.000000, 133524
10500.000000, 133668
10600.000000, 133668
10700.000000, 133668
10800.000000, 133812
10900.000000, 133812
11000.000000, 133812
11100.000000, 133956
11200.000000, 133956
11300.000000, 133956
11400.000000, 134100
11500.000000, 134100
11600.000000, 134100
11700.000000, 134244
11800.000000, 134244
11900.000000, 134244
12000.000000, 134388
12100.000000, 134388
12200.000000, 134388
12300.000000, 134532
12400.000000, 134532
12500.000000, 134532
12600.000000, 134676
12700.000000, 134676
12800.000000, 134676
12900.000000, 134820
13000.000000, 134820
13100.000000, 134820
13200.000000, 134964
13300.000000, 134964
13400.000000, 134964
13500.000000, 135108
13600.000000, 135108
13700.000000, 135108
13800.000000, 135252
13900.000000, 135252
14000.000000, 135252
14100.000000, 135396
14200.000000, 135396
14300.000000, 135396
14400.000000, 135540
14500.000000, 135540
14600.000000, 135540
14700.000000, 135684
14800.000000, 135684
14900.000000, 135684
15000.000000, 135828
15100.000000, 135828
15200.000000, 135828
15300.000000, 135972
15400.000000, 135972
15500.000000, 135972
15600.000000, 136116
15700.000000, 136116
15800.000000, 136116
15900.000000, 136260
16000.000000, 136260
16100.000000, 136260
16200.000000, 136404
16300.000000, 136404
16400.000000, 136404
16500.000000, 136548
16600.000000, 136548
16700.000000, 136548
16800.000000, 136692
16900.000000, 136692
17000.000000, 136692
17100.000000, 136836
17200.000000, 136836
17300.000000, 136836
17400.000000, 136980
17500.000000, 136980
17600.000000, 136980
17700.000000, 137124
17800.000000, 137124
17900.000000, 137124
18000.000000, 137268
18100.000000, 137268
18200.000000, 137268
18300.000000, 137412
18400.000000, 137412
18500.000000, 137412
18600.000000, 137556
18700.000000, 137556
18800.000000, 137556
18900.000000, 137700
19000.000000, 137700
19100.000000, 137700
19200.000000, 185832
19300.000000, 185832
19400.000000, 185832
19500.000000, 185992
19600.000000, 185992
19700.000000, 185992
19800.000000, 186152
19900.000000, 186152
20000.000000, 186152
20100.000000, 228513
20200.000000, 228513
20300.000000, 228513
20400.000000, 270882
20500.000000, 270882
20600.000000, 270882
20700.000000, 271058
20800.000000, 271058
20900.000000, 271058
21000.000000, 271234
21100.000000, 271234
21200.000000, 271234
21300.000000, 345222
21400.000000, 345222
21500.000000, 345222
21600.000000, 345414
21700.000000, 345414
21800.000000, 345414
21900.000000, 345606
22000.000000, 345606
22100.000000, 345606
22200.000000, 345798
22300.000000, 345798
22400.000000, 345798
22500.000000, 345990
22600.000000, 345990
22700.000000, 345990
22800.000000, 346182
22900.000000, 346182
23000.000000, 346182
23100.000000, 346350
23200.000000, 346374
23300.000000, 346374
23400.000000, 346470
23500.000000, 346566
23600.000000, 346566
23700.000000, 346662
23800.000000, 346758
23900.000000, 346758
24000.000000, 346854
24100.000000, 346950
24200.000000, 346950
24300.000000, 347046
24400.000000, 347142
24500.000000, 347142
24600.000000, 347238
24700.000000, 347334
24800.000000, 347334
24900.000000, 347430
25000.000000, 347526
25100.000000, 347526
25200.000000, 347622
25300.000000, 347718
25400.000000, 347718
25500.000000, 347814
25600.000000, 347910
25700.000000, 347910
25800.000000, 348006
25900.000000, 348102
26000.000000, 348102
26100.000000, 348198
26200.000000, 348294
26300.000000, 348294
