# Average Neighbourhood Size
# simtime, linkAvgNeighbourSize
100.000000, 0.000000
200.000000, 0.003469
300.000000, 0.027075
400.000000, 0.040714
500.000000, 0.048898
600.000000, 0.054354
700.000000, 0.058251
800.000000, 0.061173
900.000000, 0.063447
1000.000000, 0.065265
1100.000000, 0.066753
1200.000000, 0.067993
1300.000000, 0.069042
1400.000000, 0.069942
1500.000000, 0.070721
1600.000000, 0.071403
1700.000000, 0.072005
1800.000000, 0.072540
1900.000000, 0.073018
2000.000000, 0.073449
2100.000000, 0.073839
2200.000000, 0.074193
2300.000000, 0.074516
2400.000000, 0.074813
2500.000000, 0.075086
2600.000000, 0.075338
2700.000000, 0.075571
2800.000000, 0.075787
2900.000000, 0.075989
3000.000000, 0.076177
3100.000000, 0.076353
3200.000000, 0.076518
3300.000000, 0.076673
3400.000000, 0.076819
3500.000000, 0.076956
3600.000000, 0.077086
3700.000000, 0.077209
3800.000000, 0.077325
3900.000000, 0.077436
4000.000000, 0.077541
4100.000000, 0.077641
4200.000000, 0.077736
4300.000000, 0.077826
4400.000000, 0.077913
4500.000000, 0.077995
4600.000000, 0.078075
4700.000000, 0.078150
4800.000000, 0.078223
4900.000000, 0.078292
5000.000000, 0.078359
5100.000000, 0.078423
5200.000000, 0.078485
5300.000000, 0.078544
5400.000000, 0.078602
5500.000000, 0.078657
5600.000000, 0.078710
5700.000000, 0.078761
5800.000000, 0.078811
5900.000000, 0.078859
6000.000000, 0.078905
6100.000000, 0.078949
6200.000000, 0.078993
6300.000000, 0.079035
6400.000000, 0.079075
6500.000000, 0.079115
6600.000000, 0.079153
6700.000000, 0.079190
6800.000000, 0.079226
6900.000000, 0.079261
7000.000000, 0.079294
7100.000000, 0.079327
7200.000000, 0.079359
7300.000000, 0.079391
7400.000000, 0.079421
7500.000000, 0.079450
7600.000000, 0.079479
7700.000000, 0.079507
7800.000000, 0.079534
7900.000000, 0.079561
8000.000000, 0.079587
8100.000000, 0.079612
8200.000000, 0.079637
8300.000000, 0.079661
8400.000000, 0.079684
8500.000000, 0.079707
8600.000000, 0.079729
8700.000000, 0.079751
8800.000000, 0.079773
8900.000000, 0.079794
9000.000000, 0.079814
9100.000000, 0.079834
9200.000000, 0.079854
9300.000000, 0.079873
9400.000000, 0.079891
9500.000000, 0.079910
9600.000000, 0.079928
9700.000000, 0.079945
9800.000000, 0.079963
9900.000000, 0.079979
10000.000000, 0.079996
10100.000000, 0.080012
10200.000000, 0.080028
10300.000000, 0.080044
10400.000000, 0.080059
10500.000000, 0.080074
10600.000000, 0.080089
10700.000000, 0.080103
10800.000000, 0.080117
10900.000000, 0.080131
11000.000000, 0.080145
11100.000000, 0.080158
11200.000000, 0.080171
11300.000000, 0.080184
11400.000000, 0.080197
11500.000000, 0.080209
11600.000000, 0.080222
11700.000000, 0.080234
11800.000000, 0.080246
11900.000000, 0.080257
12000.000000, 0.080269
12100.000000, 0.080280
12200.000000, 0.080291
12300.000000, 0.080302
12400.000000, 0.080313
12500.000000, 0.080323
12600.000000, 0.080334
12700.000000, 0.080344
12800.000000, 0.080354
12900.000000, 0.080364
13000.000000, 0.080374
13100.000000, 0.080383
13200.000000, 0.080393
13300.000000, 0.080402
13400.000000, 0.080411
13500.000000, 0.080420
13600.000000, 0.080429
13700.000000, 0.080438
13800.000000, 0.080447
13900.000000, 0.080455
14000.000000, 0.080464
14100.000000, 0.080472
14200.000000, 0.080480
14300.000000, 0.080488
14400.000000, 0.080496
14500.000000, 0.080504
14600.000000, 0.080512
14700.000000, 0.080519
14800.000000, 0.080527
14900.000000, 0.080534
15000.000000, 0.080541
15100.000000, 0.080549
15200.000000, 0.080556
15300.000000, 0.080563
15400.000000, 0.080570
15500.000000, 0.080577
15600.000000, 0.080583
15700.000000, 0.080590
15800.000000, 0.080597
15900.000000, 0.080603
16000.000000, 0.080610
16100.000000, 0.080616
16200.000000, 0.080622
16300.000000, 0.080629
16400.000000, 0.080635
16500.000000, 0.080641
16600.000000, 0.080647
16700.000000, 0.080653
16800.000000, 0.080658
16900.000000, 0.080664
17000.000000, 0.080670
17100.000000, 0.080675
17200.000000, 0.080681
17300.000000, 0.080687
17400.000000, 0.080692
17500.000000, 0.080697
17600.000000, 0.080703
17700.000000, 0.080708
17800.000000, 0.080713
17900.000000, 0.080718
18000.000000, 0.080723
18100.000000, 0.080728
18200.000000, 0.080733
18300.000000, 0.080738
18400.000000, 0.080743
18500.000000, 0.080748
18600.000000, 0.080753
18700.000000, 0.080757
18800.000000, 0.080762
18900.000000, 0.080767
19000.000000, 0.080771
19100.000000, 0.080776
19200.000000, 0.080780
19300.000000, 0.080785
19400.000000, 0.080789
19500.000000, 0.080793
19600.000000, 0.080798
19700.000000, 0.080802
19800.000000, 0.080806
19900.000000, 0.080810
20000.000000, 0.080814
20100.000000, 0.080818
20200.000000, 0.080822
20300.000000, 0.080826
20400.000000, 0.080830
20500.000000, 0.080834
20600.000000, 0.080838
20700.000000, 0.080842
20800.000000, 0.080846
20900.000000, 0.080850
21000.000000, 0.080853
21100.000000, 0.080857
21200.000000, 0.080861
21300.000000, 0.080864
21400.000000, 0.080868
21500.000000, 0.080871
21600.000000, 0.080875
21700.000000, 0.080878
21800.000000, 0.080882
21900.000000, 0.080885
22000.000000, 0.080889
22100.000000, 0.080892
22200.000000, 0.080895
22300.000000, 0.080899
22400.000000, 0.080902
22500.000000, 0.080905
22600.000000, 0.080908
22700.000000, 0.080912
22800.000000, 0.080915
22900.000000, 0.080918
23000.000000, 0.080921
23100.000000, 0.080924
23200.000000, 0.080927
23300.000000, 0.080930
23400.000000, 0.080933
23500.000000, 0.080936
23600.000000, 0.080939
23700.000000, 0.080942
23800.000000, 0.080945
23900.000000, 0.080948
24000.000000, 0.080951
24100.000000, 0.080954
