# Total Data Average Hop Count
# simtime, appTotalDataAvgHopCount
100.000000, 0.000000
200.000000, 1.000000
300.000000, 1.133333
400.000000, 1.363636
500.000000, 1.510870
600.000000, 1.473333
700.000000, 1.597990
800.000000, 1.654135
900.000000, 1.662602
1000.000000, 1.653086
1100.000000, 1.742461
1200.000000, 1.751755
1300.000000, 1.767752
1400.000000, 1.800819
1500.000000, 1.862635
1600.000000, 1.888539
1700.000000, 1.916147
1800.000000, 1.961452
1900.000000, 1.985897
2000.000000, 2.010696
2100.000000, 2.011563
2200.000000, 2.032827
2300.000000, 2.052995
2400.000000, 2.058073
2500.000000, 2.070483
2600.000000, 2.088809
2700.000000, 2.105451
2800.000000, 2.119596
2900.000000, 2.123015
3000.000000, 2.128786
3100.000000, 2.137171
3200.000000, 2.148713
3300.000000, 2.156631
3400.000000, 2.163546
3500.000000, 2.170443
3600.000000, 2.183805
3700.000000, 2.189584
3800.000000, 2.202827
3900.000000, 2.213473
4000.000000, 2.222910
4100.000000, 2.241882
4200.000000, 2.249882
4300.000000, 2.250139
4400.000000, 2.255331
4500.000000, 2.269275
4600.000000, 2.281873
4700.000000, 2.291425
4800.000000, 2.296565
4900.000000, 2.307752
5000.000000, 2.317426
5100.000000, 2.321349
5200.000000, 2.325067
5300.000000, 2.337456
5400.000000, 2.344820
5500.000000, 2.349567
5600.000000, 2.351757
5700.000000, 2.357788
5800.000000, 2.358918
5900.000000, 2.364277
6000.000000, 2.365586
6100.000000, 2.367635
6200.000000, 2.373109
6300.000000, 2.372925
6400.000000, 2.373470
6500.000000, 2.371564
6600.000000, 2.371264
6700.000000, 2.372676
6800.000000, 2.373960
6900.000000, 2.374678
7000.000000, 2.379743
7100.000000, 2.379852
7200.000000, 2.382077
7300.000000, 2.382587
7400.000000, 2.387595
7500.000000, 2.387818
7600.000000, 2.384270
7700.000000, 2.382245
7800.000000, 2.382013
7900.000000, 2.381273
8000.000000, 2.377366
8100.000000, 2.377612
8200.000000, 2.376665
8300.000000, 2.374475
8400.000000, 2.375875
8500.000000, 2.374153
8600.000000, 2.372837
8700.000000, 2.373838
8800.000000, 2.372980
8900.000000, 2.369792
9000.000000, 2.367731
9100.000000, 2.369937
9200.000000, 2.368596
9300.000000, 2.369501
9400.000000, 2.370060
9500.000000, 2.372067
9600.000000, 2.373595
9700.000000, 2.372302
9800.000000, 2.377491
9900.000000, 2.377486
10000.000000, 2.379415
10100.000000, 2.380303
10200.000000, 2.380130
