# Total Data Delivery Ratio
# simtime, appTotalDataDeliveryRatio
100.000000, 0.000000
200.000000, 0.000234
300.000000, 0.002084
400.000000, 0.004161
500.000000, 0.008820
600.000000, 0.012741
700.000000, 0.014499
800.000000, 0.017373
900.000000, 0.031630
1000.000000, 0.052073
1100.000000, 0.078881
1200.000000, 0.098423
1300.000000, 0.110449
1400.000000, 0.122201
1500.000000, 0.132474
1600.000000, 0.148475
1700.000000, 0.165900
1800.000000, 0.179269
1900.000000, 0.190849
2000.000000, 0.197049
2100.000000, 0.204781
2200.000000, 0.211380
2300.000000, 0.222336
2400.000000, 0.235001
2500.000000, 0.236627
2600.000000, 0.240503
2700.000000, 0.250730
2800.000000, 0.256019
2900.000000, 0.258635
3000.000000, 0.261641
3100.000000, 0.265004
3200.000000, 0.269724
3300.000000, 0.272253
3400.000000, 0.279262
3500.000000, 0.282704
3600.000000, 0.287782
3700.000000, 0.288966
3800.000000, 0.292700
3900.000000, 0.292299
4000.000000, 0.299809
4100.000000, 0.306208
4200.000000, 0.307282
4300.000000, 0.310986
4400.000000, 0.312042
4500.000000, 0.314461
4600.000000, 0.318567
4700.000000, 0.322582
4800.000000, 0.326343
4900.000000, 0.326923
5000.000000, 0.325339
5100.000000, 0.324344
5200.000000, 0.320663
5300.000000, 0.317708
5400.000000, 0.312699
5500.000000, 0.305577
5600.000000, 0.299905
5700.000000, 0.296077
5800.000000, 0.292107
5900.000000, 0.288994
6000.000000, 0.282318
6100.000000, 0.280007
6200.000000, 0.277605
6300.000000, 0.280443
6400.000000, 0.280740
6500.000000, 0.283993
6600.000000, 0.284672
6700.000000, 0.285469
6800.000000, 0.284391
6900.000000, 0.288883
7000.000000, 0.296522
7100.000000, 0.303885
7200.000000, 0.305747
7300.000000, 0.305950
7400.000000, 0.305419
7500.000000, 0.304836
7600.000000, 0.304070
7700.000000, 0.307554
7800.000000, 0.309584
7900.000000, 0.308618
8000.000000, 0.311475
8100.000000, 0.311935
8200.000000, 0.315217
8300.000000, 0.318527
8400.000000, 0.319147
8500.000000, 0.318009
8600.000000, 0.319084
8700.000000, 0.320997
8800.000000, 0.322863
8900.000000, 0.326486
9000.000000, 0.327297
9100.000000, 0.330453
9200.000000, 0.330735
9300.000000, 0.332250
9400.000000, 0.336464
9500.000000, 0.340989
9600.000000, 0.344162
9700.000000, 0.346820
9800.000000, 0.349080
9900.000000, 0.349556
10000.000000, 0.350316
10100.000000, 0.350986
10200.000000, 0.349033
10300.000000, 0.347260
10400.000000, 0.343028
10500.000000, 0.337941
10600.000000, 0.331388
10700.000000, 0.324423
10800.000000, 0.315858
