# Total Bytes Sent
# simtime, fwdTotalBytesSent
100.000000, 0
200.000000, 50009
300.000000, 666649
400.000000, 1824513
500.000000, 4392708
600.000000, 9292916
700.000000, 12516959
800.000000, 17892746
900.000000, 33435823
1000.000000, 57388109
1100.000000, 88448177
1200.000000, 115960759
1300.000000, 151979244
1400.000000, 189890512
1500.000000, 215320931
1600.000000, 259949901
1700.000000, 304785476
1800.000000, 347363182
1900.000000, 387024775
2000.000000, 426211882
2100.000000, 471912712
2200.000000, 527307076
2300.000000, 572751814
2400.000000, 622947332
2500.000000, 667881455
2600.000000, 713192199
2700.000000, 771764079
2800.000000, 818986160
2900.000000, 873334471
3000.000000, 921297537
3100.000000, 975964665
3200.000000, 1036339083
3300.000000, 1091218576
3400.000000, 1143066627
3500.000000, 1188563708
3600.000000, 1237757010
3700.000000, 1288711994
3800.000000, 1339747270
3900.000000, 1394253611
4000.000000, 1445266953
4100.000000, 1488674083
4200.000000, 1527666042
4300.000000, 1598533746
4400.000000, 1646849985
4500.000000, 1716074547
4600.000000, 1758871771
4700.000000, 1810875584
4800.000000, 1861653010
4900.000000, 1919677100
5000.000000, 1958070448
5100.000000, 2013342435
5200.000000, 2072359663
5300.000000, 2115893620
5400.000000, 2169434137
5500.000000, 2230941366
5600.000000, 2265994138
5700.000000, 2317230290
5800.000000, 2364932102
5900.000000, 2426291261
6000.000000, 2478094698
6100.000000, 2519145108
6200.000000, 2568277487
6300.000000, 2604429657
6400.000000, 2658216096
6500.000000, 2715975504
6600.000000, 2773657181
6700.000000, 2827553009
6800.000000, 2861871169
6900.000000, 2901323285
7000.000000, 2941593918
7100.000000, 3000264712
7200.000000, 3047277210
7300.000000, 3102915343
7400.000000, 3142634645
7500.000000, 3190743420
7600.000000, 3246681960
7700.000000, 3295824156
7800.000000, 3355672163
7900.000000, 3390166929
8000.000000, 3438780490
8100.000000, 3483421983
8200.000000, 3540640885
8300.000000, 3602558171
8400.000000, 3643368801
8500.000000, 3692650402
8600.000000, 3735157518
8700.000000, 3770848721
8800.000000, 3819553250
8900.000000, 3878846353
9000.000000, 3930942557
9100.000000, 3961297401
9200.000000, 4002044097
9300.000000, 4074184557
9400.000000, 4128408574
9500.000000, 4195383192
9600.000000, 4242823350
9700.000000, 4303838281
9800.000000, 4356310294
9900.000000, 4406032089
10000.000000, 4434762517
10100.000000, 4476649773
10200.000000, 4479290427
