# Total Contact Count
# simtime, linkContactCount
100.000000, 0
200.000000, 4
300.000000, 21
400.000000, 43
500.000000, 54
600.000000, 106
700.000000, 195
800.000000, 277
900.000000, 388
1000.000000, 553
1100.000000, 759
1200.000000, 1005
1300.000000, 1260
1400.000000, 1501
1500.000000, 1759
1600.000000, 2025
1700.000000, 2280
1800.000000, 2557
1900.000000, 2839
2000.000000, 3116
2100.000000, 3451
2200.000000, 3739
2300.000000, 4027
2400.000000, 4300
2500.000000, 4568
2600.000000, 4819
2700.000000, 5053
2800.000000, 5319
2900.000000, 5590
3000.000000, 5846
3100.000000, 6175
3200.000000, 6460
3300.000000, 6683
3400.000000, 6917
3500.000000, 7264
3600.000000, 7584
3700.000000, 7969
3800.000000, 8231
3900.000000, 8473
4000.000000, 8710
4100.000000, 8978
4200.000000, 9289
4300.000000, 9582
4400.000000, 9907
4500.000000, 10065
4600.000000, 10216
4700.000000, 10352
4800.000000, 10605
4900.000000, 10867
5000.000000, 11128
5100.000000, 11377
5200.000000, 11662
5300.000000, 11856
5400.000000, 12112
5500.000000, 12360
5600.000000, 12649
5700.000000, 12917
5800.000000, 13153
5900.000000, 13372
6000.000000, 13638
6100.000000, 13941
6200.000000, 14203
6300.000000, 14462
6400.000000, 14754
6500.000000, 14940
6600.000000, 15133
6700.000000, 15305
6800.000000, 15465
6900.000000, 15673
7000.000000, 15825
7100.000000, 15929
7200.000000, 16037
7300.000000, 16171
7400.000000, 16301
7500.000000, 16473
7600.000000, 16740
7700.000000, 16951
7800.000000, 17194
7900.000000, 17435
8000.000000, 17636
8100.000000, 17819
8200.000000, 18046
8300.000000, 18193
8400.000000, 18340
8500.000000, 18527
8600.000000, 18722
8700.000000, 18897
8800.000000, 19091
8900.000000, 19254
9000.000000, 19425
9100.000000, 19604
9200.000000, 19787
9300.000000, 19987
9400.000000, 20155
9500.000000, 20269
9600.000000, 20406
9700.000000, 20517
9800.000000, 20642
9900.000000, 20780
10000.000000, 20866
10100.000000, 21035
10200.000000, 21153
