# Total Data Average Hop Count
# simtime, appTotalDataAvgHopCount
100.000000, 0.000000
200.000000, 1.000000
300.000000, 1.250000
400.000000, 1.476190
500.000000, 1.754717
600.000000, 1.720430
700.000000, 1.664179
800.000000, 1.855000
900.000000, 1.975062
1000.000000, 1.974815
1100.000000, 2.002773
1200.000000, 1.984749
1300.000000, 2.020130
1400.000000, 2.079473
1500.000000, 2.127430
1600.000000, 2.154682
1700.000000, 2.191776
1800.000000, 2.215969
1900.000000, 2.234619
2000.000000, 2.267267
2100.000000, 2.287788
2200.000000, 2.292340
2300.000000, 2.309295
2400.000000, 2.318531
2500.000000, 2.341330
2600.000000, 2.358074
2700.000000, 2.373346
2800.000000, 2.386812
2900.000000, 2.393135
3000.000000, 2.409259
3100.000000, 2.417820
3200.000000, 2.433834
3300.000000, 2.446993
3400.000000, 2.461333
3500.000000, 2.476975
3600.000000, 2.485687
3700.000000, 2.492590
3800.000000, 2.497561
3900.000000, 2.506242
4000.000000, 2.512291
4100.000000, 2.518277
4200.000000, 2.523840
4300.000000, 2.525024
4400.000000, 2.527768
4500.000000, 2.532192
4600.000000, 2.535905
4700.000000, 2.544922
4800.000000, 2.549759
4900.000000, 2.549257
5000.000000, 2.551892
5100.000000, 2.550580
5200.000000, 2.555093
5300.000000, 2.558076
5400.000000, 2.556951
5500.000000, 2.562734
5600.000000, 2.564445
5700.000000, 2.565823
5800.000000, 2.566324
5900.000000, 2.572148
6000.000000, 2.570764
6100.000000, 2.571532
6200.000000, 2.572196
6300.000000, 2.572780
6400.000000, 2.574127
6500.000000, 2.572582
6600.000000, 2.573762
6700.000000, 2.577173
6800.000000, 2.581406
6900.000000, 2.583391
7000.000000, 2.587265
7100.000000, 2.592689
7200.000000, 2.598007
7300.000000, 2.604662
7400.000000, 2.609548
7500.000000, 2.614867
7600.000000, 2.614800
7700.000000, 2.615060
7800.000000, 2.617778
7900.000000, 2.616584
8000.000000, 2.617233
8100.000000, 2.620302
8200.000000, 2.621374
8300.000000, 2.621542
8400.000000, 2.626079
8500.000000, 2.625408
8600.000000, 2.627999
8700.000000, 2.630660
8800.000000, 2.631245
8900.000000, 2.633614
9000.000000, 2.635879
9100.000000, 2.637663
9200.000000, 2.639407
9300.000000, 2.642192
9400.000000, 2.643388
9500.000000, 2.650065
9600.000000, 2.656775
9700.000000, 2.662251
9800.000000, 2.665197
9900.000000, 2.668902
10000.000000, 2.675782
10100.000000, 2.678833
10200.000000, 2.679557
