# Total Data Delivery Ratio
# simtime, appTotalDataDeliveryRatio
100.000000, 0.000000
200.000000, 0.000264
300.000000, 0.003173
400.000000, 0.005553
500.000000, 0.008435
600.000000, 0.012295
700.000000, 0.017715
800.000000, 0.026441
900.000000, 0.049058
1000.000000, 0.060800
1100.000000, 0.095364
1200.000000, 0.121364
1300.000000, 0.148863
1400.000000, 0.180769
1500.000000, 0.204037
1600.000000, 0.235325
1700.000000, 0.267936
1800.000000, 0.299136
1900.000000, 0.304319
2000.000000, 0.304689
2100.000000, 0.317623
2200.000000, 0.332403
2300.000000, 0.327162
2400.000000, 0.322848
2500.000000, 0.340419
2600.000000, 0.359215
2700.000000, 0.381193
2800.000000, 0.401609
2900.000000, 0.416381
3000.000000, 0.436819
3100.000000, 0.447399
3200.000000, 0.449657
3300.000000, 0.437969
3400.000000, 0.448192
3500.000000, 0.455799
3600.000000, 0.470148
3700.000000, 0.477453
3800.000000, 0.483067
3900.000000, 0.497822
4000.000000, 0.511622
4100.000000, 0.519899
4200.000000, 0.506078
4300.000000, 0.513435
4400.000000, 0.525668
4500.000000, 0.539606
4600.000000, 0.550213
4700.000000, 0.562364
4800.000000, 0.572217
4900.000000, 0.579844
5000.000000, 0.583473
5100.000000, 0.580831
5200.000000, 0.570733
5300.000000, 0.585619
5400.000000, 0.594030
5500.000000, 0.604144
5600.000000, 0.616127
5700.000000, 0.620911
5800.000000, 0.629501
5900.000000, 0.645431
6000.000000, 0.647725
6100.000000, 0.640344
6200.000000, 0.637387
6300.000000, 0.642331
6400.000000, 0.648559
6500.000000, 0.650114
6600.000000, 0.643301
6700.000000, 0.643198
6800.000000, 0.647347
6900.000000, 0.648657
7000.000000, 0.657323
7100.000000, 0.669658
7200.000000, 0.679022
7300.000000, 0.685829
7400.000000, 0.691971
7500.000000, 0.688041
7600.000000, 0.685961
7700.000000, 0.688260
7800.000000, 0.692245
7900.000000, 0.683731
8000.000000, 0.689454
8100.000000, 0.697072
8200.000000, 0.703745
8300.000000, 0.714242
8400.000000, 0.722837
8500.000000, 0.725327
8600.000000, 0.729752
8700.000000, 0.731239
8800.000000, 0.724123
8900.000000, 0.724564
9000.000000, 0.731625
9100.000000, 0.739214
9200.000000, 0.740297
9300.000000, 0.752068
9400.000000, 0.759496
9500.000000, 0.764198
9600.000000, 0.773398
9700.000000, 0.774645
9800.000000, 0.775451
9900.000000, 0.783861
10000.000000, 0.787170
10100.000000, 0.791172
10200.000000, 0.787916
10300.000000, 0.785671
10400.000000, 0.776818
10500.000000, 0.769234
10600.000000, 0.762851
10700.000000, 0.751418
10800.000000, 0.741319
