# Total Bytes Sent
# simtime, fwdTotalBytesSent
100.000000, 0
200.000000, 50009
300.000000, 393310
400.000000, 1019874
500.000000, 2147074
600.000000, 4903922
700.000000, 7001820
800.000000, 10983026
900.000000, 21266963
1000.000000, 40404685
1100.000000, 68691690
1200.000000, 92335074
1300.000000, 123823616
1400.000000, 156768441
1500.000000, 188654585
1600.000000, 229474903
1700.000000, 271774596
1800.000000, 306737958
1900.000000, 338111654
2000.000000, 370800050
2100.000000, 409098098
2200.000000, 471427240
2300.000000, 511135286
2400.000000, 556647033
2500.000000, 600088286
2600.000000, 640576157
2700.000000, 680581451
2800.000000, 733785297
2900.000000, 769519461
3000.000000, 824943006
3100.000000, 870284661
3200.000000, 921765144
3300.000000, 969812393
3400.000000, 1012747709
3500.000000, 1045170954
3600.000000, 1106812757
3700.000000, 1150069606
3800.000000, 1185252758
3900.000000, 1233324988
4000.000000, 1272468626
4100.000000, 1314744143
4200.000000, 1345102307
4300.000000, 1399441530
4400.000000, 1448102823
4500.000000, 1514069897
4600.000000, 1542476281
4700.000000, 1578500939
4800.000000, 1614645783
4900.000000, 1658127159
5000.000000, 1701981026
5100.000000, 1754501150
5200.000000, 1798410802
5300.000000, 1847240598
5400.000000, 1890619690
5500.000000, 1934660174
5600.000000, 1978626019
5700.000000, 2020107715
5800.000000, 2068388159
5900.000000, 2115354012
6000.000000, 2169159369
6100.000000, 2208109596
6200.000000, 2251901468
6300.000000, 2291144206
6400.000000, 2330270021
6500.000000, 2389388217
6600.000000, 2429681286
6700.000000, 2479795247
6800.000000, 2519680173
6900.000000, 2540241541
7000.000000, 2578610843
7100.000000, 2623478391
7200.000000, 2659882741
7300.000000, 2683169016
7400.000000, 2720380849
7500.000000, 2754895038
7600.000000, 2786381564
7700.000000, 2838052799
7800.000000, 2878228232
7900.000000, 2921960150
8000.000000, 2965379897
8100.000000, 3010640972
8200.000000, 3045909466
8300.000000, 3080384075
8400.000000, 3115361034
8500.000000, 3144693912
8600.000000, 3176272195
8700.000000, 3211204575
8800.000000, 3245291828
8900.000000, 3283240575
9000.000000, 3317410869
9100.000000, 3358952411
9200.000000, 3383722972
9300.000000, 3430243919
9400.000000, 3485402676
9500.000000, 3524720569
9600.000000, 3552948358
9700.000000, 3585583027
9800.000000, 3623995122
9900.000000, 3654454627
10000.000000, 3682296513
10100.000000, 3710340354
10200.000000, 3715640489
