# Average Neighbourhood Size
# simtime, linkAvgNeighbourSize
100.000000, 0.000000
200.000000, 0.000323
300.000000, 0.012903
400.000000, 0.024274
500.000000, 0.061290
600.000000, 0.073280
700.000000, 0.080922
800.000000, 0.094355
900.000000, 0.138746
1000.000000, 0.213806
1100.000000, 0.307771
1200.000000, 0.374059
1300.000000, 0.424119
1400.000000, 0.475161
1500.000000, 0.519183
1600.000000, 0.576895
1700.000000, 0.643416
1800.000000, 0.692455
1900.000000, 0.718964
2000.000000, 0.738839
2100.000000, 0.748894
2200.000000, 0.784208
2300.000000, 0.823913
2400.000000, 0.850605
2500.000000, 0.881729
2600.000000, 0.911725
2700.000000, 0.934170
2800.000000, 0.950611
2900.000000, 0.965595
3000.000000, 0.980968
3100.000000, 1.001988
3200.000000, 1.023034
3300.000000, 1.047185
3400.000000, 1.067799
3500.000000, 1.070627
3600.000000, 1.081613
3700.000000, 1.092554
3800.000000, 1.103370
3900.000000, 1.116195
4000.000000, 1.129653
4100.000000, 1.137482
4200.000000, 1.137657
4300.000000, 1.144959
4400.000000, 1.154054
4500.000000, 1.170875
4600.000000, 1.182454
4700.000000, 1.191531
4800.000000, 1.198219
4900.000000, 1.202330
5000.000000, 1.206452
5100.000000, 1.213257
5200.000000, 1.229888
5300.000000, 1.245813
5400.000000, 1.252264
5500.000000, 1.256405
5600.000000, 1.260904
5700.000000, 1.267448
5800.000000, 1.272697
5900.000000, 1.272597
6000.000000, 1.272613
6100.000000, 1.275209
6200.000000, 1.278012
6300.000000, 1.278356
6400.000000, 1.277525
6500.000000, 1.283464
6600.000000, 1.287273
6700.000000, 1.292282
6800.000000, 1.295270
6900.000000, 1.293609
7000.000000, 1.297161
7100.000000, 1.302204
7200.000000, 1.305067
7300.000000, 1.306354
7400.000000, 1.305789
7500.000000, 1.304391
7600.000000, 1.301362
7700.000000, 1.301810
7800.000000, 1.302746
7900.000000, 1.305647
8000.000000, 1.309347
8100.000000, 1.312656
8200.000000, 1.316459
8300.000000, 1.317637
8400.000000, 1.315326
8500.000000, 1.310364
8600.000000, 1.306838
8700.000000, 1.301657
8800.000000, 1.297166
8900.000000, 1.295872
9000.000000, 1.297713
9100.000000, 1.295895
9200.000000, 1.290992
9300.000000, 1.287038
9400.000000, 1.288572
9500.000000, 1.293616
9600.000000, 1.293847
9700.000000, 1.295550
9800.000000, 1.296241
9900.000000, 1.294529
10000.000000, 1.292394
10100.000000, 1.287994
10200.000000, 1.277144
10300.000000, 1.264745
10400.000000, 1.252584
10500.000000, 1.240654
10600.000000, 1.228950
10700.000000, 1.217465
10800.000000, 1.206192
