# Total Data Average Hop Count
# simtime, appTotalDataAvgHopCount
100.000000, 2.992116
200.000000, 3.034512
300.000000, 3.006767
400.000000, 2.766163
500.000000, 2.714204
600.000000, 2.719468
700.000000, 2.820005
800.000000, 2.829038
900.000000, 2.827347
1000.000000, 2.868749
1100.000000, 2.903364
1200.000000, 2.935357
1300.000000, 2.978351
1400.000000, 3.010996
1500.000000, 3.024319
1600.000000, 3.047941
1700.000000, 3.062807
1800.000000, 3.068602
1900.000000, 3.075042
2000.000000, 3.088278
2100.000000, 3.094752
2200.000000, 3.107257
2300.000000, 3.117473
2400.000000, 3.118722
2500.000000, 3.123834
2600.000000, 3.130857
2700.000000, 3.133052
2800.000000, 3.136119
2900.000000, 3.134918
3000.000000, 3.132423
3100.000000, 3.133148
3200.000000, 3.137100
3300.000000, 3.137539
3400.000000, 3.138153
3500.000000, 3.143442
3600.000000, 3.146840
3700.000000, 3.153331
3800.000000, 3.158105
3900.000000, 3.160215
4000.000000, 3.164914
4100.000000, 3.173348
4200.000000, 3.181175
4300.000000, 3.187505
4400.000000, 3.193669
4500.000000, 3.202478
4600.000000, 3.212336
4700.000000, 3.214611
4800.000000, 3.217002
4900.000000, 3.218681
5000.000000, 3.221240
5100.000000, 3.221787
5200.000000, 3.223671
5300.000000, 3.223507
5400.000000, 3.226422
5500.000000, 3.227263
5600.000000, 3.226520
5700.000000, 3.229687
5800.000000, 3.233248
5900.000000, 3.237749
6000.000000, 3.242274
6100.000000, 3.245217
6200.000000, 3.250627
6300.000000, 3.256049
6400.000000, 3.258572
6500.000000, 3.257301
6600.000000, 3.257809
6700.000000, 3.256574
6800.000000, 3.256240
6900.000000, 3.257414
7000.000000, 3.256513
7100.000000, 3.256707
7200.000000, 3.259911
7300.000000, 3.263429
7400.000000, 3.264174
7500.000000, 3.266560
7600.000000, 3.269330
7700.000000, 3.269187
7800.000000, 3.265460
7900.000000, 3.264803
8000.000000, 3.265958
8100.000000, 3.268947
8200.000000, 3.270895
8300.000000, 3.271709
8400.000000, 3.272821
8500.000000, 3.273120
8600.000000, 3.276429
8700.000000, 3.278211
8800.000000, 3.280299
8900.000000, 3.282094
9000.000000, 3.282917
9100.000000, 3.285623
9200.000000, 3.289204
9300.000000, 3.290536
9400.000000, 3.292256
9500.000000, 3.293490
9600.000000, 3.293074
9700.000000, 3.293883
9800.000000, 3.295297
9900.000000, 3.296781
10000.000000, 3.299196
10100.000000, 3.300464
10200.000000, 3.301762
10300.000000, 3.301260
10400.000000, 3.301174
10500.000000, 3.303547
10600.000000, 3.305527
10700.000000, 3.307793
10800.000000, 3.309710
10900.000000, 3.312238
11000.000000, 3.314472
11100.000000, 3.315878
11200.000000, 3.317918
