# Total Data Delivery Ratio
# simtime, appTotalDataDeliveryRatio
100.000000, 0.015251
200.000000, 0.011904
300.000000, 0.012832
400.000000, 0.025882
500.000000, 0.027936
600.000000, 0.033475
700.000000, 0.045559
800.000000, 0.053804
900.000000, 0.060148
1000.000000, 0.067970
1100.000000, 0.072914
1200.000000, 0.072770
1300.000000, 0.071505
1400.000000, 0.067779
1500.000000, 0.064061
1600.000000, 0.063850
1700.000000, 0.064635
1800.000000, 0.066620
1900.000000, 0.070084
2000.000000, 0.073603
2100.000000, 0.077209
2200.000000, 0.078156
2300.000000, 0.078435
2400.000000, 0.077167
2500.000000, 0.075707
2600.000000, 0.074616
2700.000000, 0.074122
2800.000000, 0.074856
2900.000000, 0.076237
3000.000000, 0.078029
3100.000000, 0.080292
3200.000000, 0.082377
3300.000000, 0.083916
3400.000000, 0.083932
3500.000000, 0.084162
3600.000000, 0.083497
3700.000000, 0.082397
3800.000000, 0.081357
3900.000000, 0.081487
4000.000000, 0.081971
4100.000000, 0.083113
4200.000000, 0.084357
4300.000000, 0.085697
4400.000000, 0.086490
4500.000000, 0.086303
4600.000000, 0.086185
4700.000000, 0.085440
4800.000000, 0.084856
4900.000000, 0.084545
5000.000000, 0.083898
5100.000000, 0.083481
5200.000000, 0.083332
5300.000000, 0.083704
5400.000000, 0.084140
5500.000000, 0.084441
5600.000000, 0.084447
5700.000000, 0.084558
5800.000000, 0.084237
5900.000000, 0.083610
6000.000000, 0.083332
6100.000000, 0.082948
6200.000000, 0.082731
6300.000000, 0.082545
6400.000000, 0.082897
6500.000000, 0.082596
6600.000000, 0.082730
6700.000000, 0.082564
6800.000000, 0.082569
6900.000000, 0.082180
7000.000000, 0.081515
7100.000000, 0.081498
7200.000000, 0.081540
7300.000000, 0.081059
7400.000000, 0.081110
7500.000000, 0.081451
7600.000000, 0.081710
7700.000000, 0.082112
7800.000000, 0.082562
7900.000000, 0.082381
8000.000000, 0.082308
8100.000000, 0.082240
8200.000000, 0.081967
8300.000000, 0.081690
8400.000000, 0.081558
8500.000000, 0.081348
8600.000000, 0.081614
8700.000000, 0.081629
8800.000000, 0.081713
8900.000000, 0.081634
9000.000000, 0.081654
9100.000000, 0.081578
9200.000000, 0.081023
9300.000000, 0.080796
9400.000000, 0.080717
9500.000000, 0.080568
9600.000000, 0.080588
9700.000000, 0.080549
9800.000000, 0.080425
9900.000000, 0.080129
10000.000000, 0.079842
10100.000000, 0.079608
10200.000000, 0.079539
10300.000000, 0.079204
10400.000000, 0.078934
10500.000000, 0.078594
10600.000000, 0.078400
10700.000000, 0.078055
10800.000000, 0.077864
10900.000000, 0.077863
11000.000000, 0.077628
11100.000000, 0.077328
