# Total Bytes Sent
# simtime, fwdTotalBytesSent
100.000000, 31189244
200.000000, 50428530
300.000000, 73417289
400.000000, 322367352
500.000000, 428094785
600.000000, 497313200
700.000000, 750795328
800.000000, 974656747
900.000000, 1115871185
1000.000000, 1394980009
1100.000000, 1713992740
1200.000000, 2036305653
1300.000000, 2262870812
1400.000000, 2487732476
1500.000000, 2761302898
1600.000000, 3006801225
1700.000000, 3234671938
1800.000000, 3476988529
1900.000000, 3858862882
2000.000000, 4076808359
2100.000000, 4356475452
2200.000000, 4715969007
2300.000000, 5084108597
2400.000000, 5399192512
2500.000000, 5753219926
2600.000000, 6055110414
2700.000000, 6498769674
2800.000000, 7064075485
2900.000000, 7395515585
3000.000000, 7849574460
3100.000000, 8216514964
3200.000000, 8637846596
3300.000000, 9149689946
3400.000000, 9552621854
3500.000000, 10058729165
3600.000000, 10473761121
3700.000000, 10938494179
3800.000000, 11337736592
3900.000000, 11770116342
4000.000000, 12170684830
4100.000000, 12587575086
4200.000000, 13147085487
4300.000000, 13574237742
4400.000000, 14014527594
4500.000000, 14416247491
4600.000000, 14819440800
4700.000000, 15262903642
4800.000000, 15764545189
4900.000000, 16238549618
5000.000000, 16663941385
5100.000000, 17112371510
5200.000000, 17637919100
5300.000000, 18105699893
5400.000000, 18758699152
5500.000000, 19168790509
5600.000000, 19751336189
5700.000000, 20219946096
5800.000000, 20762699685
5900.000000, 21204870495
6000.000000, 21716765677
6100.000000, 22275253332
6200.000000, 22755631646
6300.000000, 23198484110
6400.000000, 23606381602
6500.000000, 24049487428
6600.000000, 24579977023
6700.000000, 25161985787
6800.000000, 25593903203
6900.000000, 26022460146
7000.000000, 26463973336
7100.000000, 26868958856
7200.000000, 27278122626
7300.000000, 27791915003
7400.000000, 28310191345
7500.000000, 28812935262
7600.000000, 29301735987
7700.000000, 29897546299
7800.000000, 30402349740
7900.000000, 30873731790
8000.000000, 31360267034
8100.000000, 31791226966
8200.000000, 32319844781
8300.000000, 32731786884
8400.000000, 33163873121
8500.000000, 33653412602
8600.000000, 34220657527
8700.000000, 34718686143
8800.000000, 35234624247
8900.000000, 35818044501
9000.000000, 36411828434
9100.000000, 37161812836
9200.000000, 37833312928
9300.000000, 38565258256
9400.000000, 39033709504
9500.000000, 39684172551
9600.000000, 40087455848
9700.000000, 40569573942
9800.000000, 41097122379
9900.000000, 41429836201
10000.000000, 41795979799
10100.000000, 42191431709
10200.000000, 42642276964
10300.000000, 42986040237
10400.000000, 43369331936
10500.000000, 43699829039
10600.000000, 44034657077
10700.000000, 44402157023
10800.000000, 44776444388
10900.000000, 45324610843
11000.000000, 45767508548
11100.000000, 46168427207
11200.000000, 46435149189
11300.000000, 46819241423
11400.000000, 47198763264
11500.000000, 47582276631
11600.000000, 47853760348
11700.000000, 48182950979
11800.000000, 48548076361
11900.000000, 48875390532
12000.000000, 49118045720
12100.000000, 49447182493
12200.000000, 49697505371
12300.000000, 50093486149
12400.000000, 50454756139
12500.000000, 50865304018
12600.000000, 51171905261
12700.000000, 51414088288
12800.000000, 51694343350
12900.000000, 52003110295
13000.000000, 52213825818
13100.000000, 52629702509
13200.000000, 52947947887
13300.000000, 53296806943
13400.000000, 53594160372
13500.000000, 53863779718
13600.000000, 54116405473
13700.000000, 54426054120
13800.000000, 54715366455
13900.000000, 54978556259
14000.000000, 55297308801
