# Total Contact Count
# simtime, linkContactCount
100.000000, 154
200.000000, 334
300.000000, 494
400.000000, 670
500.000000, 824
600.000000, 970
700.000000, 1130
800.000000, 1299
900.000000, 1465
1000.000000, 1638
1100.000000, 1821
1200.000000, 1973
1300.000000, 2092
1400.000000, 2224
1500.000000, 2334
1600.000000, 2458
1700.000000, 2595
1800.000000, 2733
1900.000000, 2841
2000.000000, 2920
2100.000000, 2989
2200.000000, 3078
2300.000000, 3187
2400.000000, 3310
2500.000000, 3417
2600.000000, 3515
2700.000000, 3593
2800.000000, 3670
2900.000000, 3759
3000.000000, 3831
3100.000000, 3913
3200.000000, 3993
3300.000000, 4072
3400.000000, 4159
3500.000000, 4242
3600.000000, 4332
3700.000000, 4427
3800.000000, 4543
3900.000000, 4610
4000.000000, 4689
4100.000000, 4778
4200.000000, 4898
4300.000000, 5026
4400.000000, 5146
4500.000000, 5216
4600.000000, 5287
4700.000000, 5399
4800.000000, 5477
4900.000000, 5559
5000.000000, 5664
5100.000000, 5768
5200.000000, 5841
5300.000000, 5911
5400.000000, 5986
5500.000000, 6090
5600.000000, 6194
5700.000000, 6285
5800.000000, 6367
5900.000000, 6463
6000.000000, 6545
6100.000000, 6642
6200.000000, 6732
6300.000000, 6836
6400.000000, 6949
6500.000000, 7057
6600.000000, 7152
6700.000000, 7281
6800.000000, 7424
6900.000000, 7563
7000.000000, 7676
7100.000000, 7783
7200.000000, 7920
7300.000000, 8053
7400.000000, 8191
7500.000000, 8328
7600.000000, 8423
7700.000000, 8513
7800.000000, 8597
7900.000000, 8685
8000.000000, 8758
8100.000000, 8838
8200.000000, 8918
8300.000000, 9016
8400.000000, 9095
8500.000000, 9196
8600.000000, 9287
8700.000000, 9380
8800.000000, 9482
8900.000000, 9610
9000.000000, 9716
9100.000000, 9801
9200.000000, 9900
9300.000000, 9974
9400.000000, 10091
9500.000000, 10178
9600.000000, 10310
9700.000000, 10436
9800.000000, 10548
9900.000000, 10656
10000.000000, 10753
10100.000000, 10845
10200.000000, 10971
10300.000000, 11090
10400.000000, 11248
10500.000000, 11362
10600.000000, 11527
10700.000000, 11715
10800.000000, 11857
10900.000000, 12000
11000.000000, 12203
11100.000000, 12366
11200.000000, 12549
11300.000000, 12719
11400.000000, 12878
11500.000000, 13036
11600.000000, 13215
11700.000000, 13398
11800.000000, 13554
11900.000000, 13726
12000.000000, 13862
12100.000000, 14039
12200.000000, 14212
12300.000000, 14379
12400.000000, 14551
12500.000000, 14715
12600.000000, 14849
12700.000000, 14990
12800.000000, 15137
12900.000000, 15295
13000.000000, 15479
13100.000000, 15679
13200.000000, 15936
13300.000000, 16139
13400.000000, 16358
13500.000000, 16555
13600.000000, 16704
13700.000000, 16901
13800.000000, 17109
13900.000000, 17333
14000.000000, 17514
14100.000000, 17665
14200.000000, 17865
14300.000000, 18057
14400.000000, 18221
14500.000000, 18432
14600.000000, 18650
14700.000000, 18905
14800.000000, 19128
14900.000000, 19353
15000.000000, 19583
15100.000000, 19805
15200.000000, 20017
15300.000000, 20242
15400.000000, 20479
15500.000000, 20710
