# Total Data Average Hop Count
# simtime, appTotalDataAvgHopCount
100.000000, 2.992116
200.000000, 3.034512
300.000000, 3.006767
400.000000, 2.766163
500.000000, 2.714204
600.000000, 2.719468
700.000000, 2.820005
800.000000, 2.829038
900.000000, 2.827347
1000.000000, 2.868749
1100.000000, 2.903463
1200.000000, 2.935715
1300.000000, 2.982737
1400.000000, 3.019129
1500.000000, 3.036558
1600.000000, 3.068448
1700.000000, 3.093651
1800.000000, 3.111524
1900.000000, 3.135309
2000.000000, 3.154066
2100.000000, 3.174222
2200.000000, 3.212479
2300.000000, 3.244589
2400.000000, 3.263693
2500.000000, 3.285578
2600.000000, 3.313090
2700.000000, 3.333675
2800.000000, 3.358894
2900.000000, 3.379145
3000.000000, 3.400625
3100.000000, 3.418168
3200.000000, 3.438513
3300.000000, 3.452626
3400.000000, 3.466799
3500.000000, 3.476939
3600.000000, 3.492679
3700.000000, 3.504294
3800.000000, 3.518246
3900.000000, 3.532573
4000.000000, 3.550989
4100.000000, 3.567698
4200.000000, 3.579057
4300.000000, 3.597698
4400.000000, 3.613582
4500.000000, 3.628907
4600.000000, 3.641339
4700.000000, 3.655970
4800.000000, 3.661542
4900.000000, 3.674105
5000.000000, 3.682105
5100.000000, 3.689475
5200.000000, 3.695957
5300.000000, 3.704286
5400.000000, 3.711056
5500.000000, 3.723874
5600.000000, 3.729009
5700.000000, 3.736428
5800.000000, 3.746849
5900.000000, 3.757306
6000.000000, 3.766444
6100.000000, 3.774519
6200.000000, 3.782959
6300.000000, 3.790144
6400.000000, 3.794571
6500.000000, 3.798456
6600.000000, 3.800976
6700.000000, 3.806877
6800.000000, 3.809338
6900.000000, 3.811189
7000.000000, 3.812234
7100.000000, 3.815490
7200.000000, 3.821839
7300.000000, 3.826247
7400.000000, 3.828688
7500.000000, 3.830679
7600.000000, 3.833802
7700.000000, 3.836033
7800.000000, 3.841684
7900.000000, 3.850063
8000.000000, 3.855549
8100.000000, 3.862890
8200.000000, 3.869677
8300.000000, 3.879018
8400.000000, 3.886799
8500.000000, 3.897254
8600.000000, 3.904969
8700.000000, 3.909370
8800.000000, 3.914675
8900.000000, 3.920810
9000.000000, 3.923253
9100.000000, 3.929036
9200.000000, 3.930490
9300.000000, 3.933488
9400.000000, 3.934863
9500.000000, 3.935205
9600.000000, 3.936167
9700.000000, 3.937781
9800.000000, 3.937842
9900.000000, 3.938607
10000.000000, 3.941387
10100.000000, 3.942304
10200.000000, 3.943609
10300.000000, 3.943714
10400.000000, 3.946339
10500.000000, 3.947906
10600.000000, 3.949933
10700.000000, 3.953531
10800.000000, 3.956077
10900.000000, 3.957719
11000.000000, 3.960123
11100.000000, 3.962279
11200.000000, 3.964138
