# Total Data Delivery Ratio
# simtime, appTotalDataDeliveryRatio
100.000000, 0.015251
200.000000, 0.011904
300.000000, 0.012832
400.000000, 0.025882
500.000000, 0.027936
600.000000, 0.033475
700.000000, 0.045559
800.000000, 0.053804
900.000000, 0.060148
1000.000000, 0.068922
1100.000000, 0.077431
1200.000000, 0.086725
1300.000000, 0.095423
1400.000000, 0.103924
1500.000000, 0.110401
1600.000000, 0.117463
1700.000000, 0.124112
1800.000000, 0.130565
1900.000000, 0.137679
2000.000000, 0.144253
2100.000000, 0.152064
2200.000000, 0.159884
2300.000000, 0.167226
2400.000000, 0.174521
2500.000000, 0.181315
2600.000000, 0.189014
2700.000000, 0.195575
2800.000000, 0.202906
2900.000000, 0.209711
3000.000000, 0.216745
3100.000000, 0.222729
3200.000000, 0.229743
3300.000000, 0.236341
3400.000000, 0.242886
3500.000000, 0.250100
3600.000000, 0.256770
3700.000000, 0.262754
3800.000000, 0.268874
3900.000000, 0.275074
4000.000000, 0.282036
4100.000000, 0.288978
4200.000000, 0.295367
4300.000000, 0.301591
4400.000000, 0.306541
4500.000000, 0.311575
4600.000000, 0.316910
4700.000000, 0.322862
4800.000000, 0.326922
4900.000000, 0.332625
5000.000000, 0.337579
5100.000000, 0.342377
5200.000000, 0.346657
5300.000000, 0.350553
5400.000000, 0.354244
5500.000000, 0.358553
5600.000000, 0.362982
5700.000000, 0.367603
5800.000000, 0.372381
5900.000000, 0.375808
6000.000000, 0.379443
6100.000000, 0.382473
6200.000000, 0.385731
6300.000000, 0.388910
6400.000000, 0.392277
6500.000000, 0.395503
6600.000000, 0.399122
6700.000000, 0.403287
6800.000000, 0.406641
6900.000000, 0.409928
7000.000000, 0.413595
7100.000000, 0.417527
7200.000000, 0.422509
7300.000000, 0.426906
7400.000000, 0.430441
7500.000000, 0.434625
7600.000000, 0.439030
7700.000000, 0.444369
7800.000000, 0.449547
7900.000000, 0.455343
8000.000000, 0.460649
8100.000000, 0.465259
8200.000000, 0.470665
8300.000000, 0.475403
8400.000000, 0.479896
8500.000000, 0.484377
8600.000000, 0.487808
8700.000000, 0.490930
8800.000000, 0.494397
8900.000000, 0.497166
9000.000000, 0.500040
9100.000000, 0.501565
9200.000000, 0.493554
9300.000000, 0.476198
9400.000000, 0.451310
9500.000000, 0.418421
9600.000000, 0.384020
9700.000000, 0.359784
9800.000000, 0.339969
9900.000000, 0.317643
10000.000000, 0.298524
10100.000000, 0.286727
10200.000000, 0.276751
10300.000000, 0.269405
10400.000000, 0.267159
10500.000000, 0.267745
10600.000000, 0.269377
10700.000000, 0.270958
10800.000000, 0.272108
10900.000000, 0.273579
11000.000000, 0.274739
11100.000000, 0.275834
