# Total Bytes Sent
# simtime, fwdTotalBytesSent
100.000000, 31189244
200.000000, 50428530
300.000000, 73417289
400.000000, 322367352
500.000000, 428094785
600.000000, 497313200
700.000000, 750795328
800.000000, 974656747
900.000000, 1115871185
1000.000000, 1394979993
1100.000000, 1713847267
1200.000000, 2035857576
1300.000000, 2261795006
1400.000000, 2484525727
1500.000000, 2751178412
1600.000000, 2984075655
1700.000000, 3198073441
1800.000000, 3420945982
1900.000000, 3766816369
2000.000000, 3991987303
2100.000000, 4295528633
2200.000000, 4572573810
2300.000000, 4966850471
2400.000000, 5277669993
2500.000000, 5558790810
2600.000000, 5882198606
2700.000000, 6212810621
2800.000000, 6685491287
2900.000000, 7040226537
3000.000000, 7407148586
3100.000000, 7691063515
3200.000000, 7982227146
3300.000000, 8347203832
3400.000000, 8660227448
3500.000000, 9015508195
3600.000000, 9311695592
3700.000000, 9698643084
3800.000000, 10020113456
3900.000000, 10390825749
4000.000000, 10729270475
4100.000000, 11280075261
4200.000000, 11718687274
4300.000000, 12063535110
4400.000000, 12434132308
4500.000000, 12794343157
4600.000000, 13272220912
4700.000000, 13717914658
4800.000000, 14067313673
4900.000000, 14530759443
5000.000000, 14830270122
5100.000000, 15275341175
5200.000000, 15520002368
5300.000000, 15865592152
5400.000000, 16162107484
5500.000000, 16342009067
5600.000000, 16685779025
5700.000000, 16952327434
5800.000000, 17433999739
5900.000000, 17699392529
6000.000000, 17961542394
6100.000000, 18247838649
6200.000000, 18497025049
6300.000000, 19082230255
6400.000000, 19435891959
6500.000000, 19637340956
6600.000000, 19987081841
6700.000000, 20205910173
6800.000000, 20512292473
6900.000000, 21057982666
7000.000000, 21304781756
7100.000000, 21549003289
7200.000000, 21867929623
7300.000000, 22116341538
7400.000000, 22290445723
7500.000000, 22649577854
7600.000000, 22980813654
7700.000000, 23345014371
7800.000000, 23562712135
7900.000000, 23809445885
8000.000000, 24063692175
8100.000000, 24344766067
8200.000000, 24657208543
8300.000000, 24947700061
8400.000000, 25268062495
8500.000000, 25511448242
8600.000000, 25772413522
8700.000000, 26123983715
8800.000000, 26366123488
8900.000000, 26612726439
9000.000000, 26944053221
9100.000000, 27188217533
9200.000000, 27386534902
9300.000000, 27592185545
9400.000000, 27744876673
9500.000000, 27902958751
9600.000000, 28008059460
9700.000000, 28138353601
9800.000000, 28348149064
9900.000000, 28715121486
10000.000000, 28859051238
10100.000000, 28995925457
10200.000000, 29164311346
10300.000000, 29526965252
10400.000000, 29901153780
10500.000000, 30231138293
10600.000000, 30590579209
10700.000000, 31013073779
10800.000000, 31201442967
10900.000000, 31496906133
11000.000000, 31816931774
11100.000000, 32123519383
11200.000000, 32578185430
11300.000000, 32764281532
11400.000000, 32940476821
11500.000000, 33152548438
11600.000000, 33332962297
11700.000000, 33564195528
11800.000000, 34025748574
11900.000000, 34482522039
12000.000000, 34643718945
12100.000000, 34862950761
12200.000000, 34980274952
12300.000000, 35163053274
12400.000000, 35315482233
12500.000000, 35479972657
12600.000000, 35652095393
12700.000000, 35842083397
12800.000000, 36066664553
12900.000000, 36520819472
13000.000000, 36834021104
13100.000000, 37146068712
13200.000000, 37411129224
13300.000000, 37785279319
13400.000000, 38104115955
13500.000000, 38375062446
13600.000000, 38534107084
13700.000000, 38795145482
13800.000000, 39027029671
13900.000000, 39333228830
14000.000000, 39645705911
