# Average Neighbourhood Size
# simtime, linkAvgNeighbourSize
100.000000, 7.251200
200.000000, 7.350260
300.000000, 7.439867
400.000000, 7.500720
500.000000, 7.622480
600.000000, 7.723533
700.000000, 7.816851
800.000000, 7.906905
900.000000, 7.991320
1000.000000, 8.094096
1100.000000, 8.225451
1200.000000, 8.382927
1300.000000, 8.547314
1400.000000, 8.682326
1500.000000, 8.810365
1600.000000, 8.921007
1700.000000, 9.030984
1800.000000, 9.140053
1900.000000, 9.244564
2000.000000, 9.368794
2100.000000, 9.486472
2200.000000, 9.599351
2300.000000, 9.710826
2400.000000, 9.826025
2500.000000, 9.943042
2600.000000, 10.069905
2700.000000, 10.208099
2800.000000, 10.358799
2900.000000, 10.494957
3000.000000, 10.627049
3100.000000, 10.759001
3200.000000, 10.887196
3300.000000, 11.016079
3400.000000, 11.138754
3500.000000, 11.251842
3600.000000, 11.359258
3700.000000, 11.457685
3800.000000, 11.547598
3900.000000, 11.636566
4000.000000, 11.721367
4100.000000, 11.788581
4200.000000, 11.849471
4300.000000, 11.898877
4400.000000, 11.944655
4500.000000, 11.992004
4600.000000, 12.033764
4700.000000, 12.067297
4800.000000, 12.092722
4900.000000, 12.117816
5000.000000, 12.142308
5100.000000, 12.168682
5200.000000, 12.198100
5300.000000, 12.224639
5400.000000, 12.252501
5500.000000, 12.278905
5600.000000, 12.303552
5700.000000, 12.329772
5800.000000, 12.356014
5900.000000, 12.375957
6000.000000, 12.386085
6100.000000, 12.389473
6200.000000, 12.394485
6300.000000, 12.393638
6400.000000, 12.395659
6500.000000, 12.400275
6600.000000, 12.405913
6700.000000, 12.409967
6800.000000, 12.412489
6900.000000, 12.419388
7000.000000, 12.426884
7100.000000, 12.438514
7200.000000, 12.450528
7300.000000, 12.466898
7400.000000, 12.489345
7500.000000, 12.513034
7600.000000, 12.543086
7700.000000, 12.579040
7800.000000, 12.616588
7900.000000, 12.651423
8000.000000, 12.686110
8100.000000, 12.715631
8200.000000, 12.740012
8300.000000, 12.763238
8400.000000, 12.783415
8500.000000, 12.802808
8600.000000, 12.818154
8700.000000, 12.831246
8800.000000, 12.842980
8900.000000, 12.850586
9000.000000, 12.857376
9100.000000, 12.862451
9200.000000, 12.864552
9300.000000, 12.866939
9400.000000, 12.871012
9500.000000, 12.870898
9600.000000, 12.865824
9700.000000, 12.856828
9800.000000, 12.845845
9900.000000, 12.835316
10000.000000, 12.824802
10100.000000, 12.810690
10200.000000, 12.793871
10300.000000, 12.773390
10400.000000, 12.752141
10500.000000, 12.729451
10600.000000, 12.705466
10700.000000, 12.680735
10800.000000, 12.654179
10900.000000, 12.626687
11000.000000, 12.596712
11100.000000, 12.566072
11200.000000, 12.534061
11300.000000, 12.501555
11400.000000, 12.468802
11500.000000, 12.437098
11600.000000, 12.402590
11700.000000, 12.365190
11800.000000, 12.326204
11900.000000, 12.285023
12000.000000, 12.243987
12100.000000, 12.201720
12200.000000, 12.154696
12300.000000, 12.107267
12400.000000, 12.060466
12500.000000, 12.014422
12600.000000, 11.968147
12700.000000, 11.922571
12800.000000, 11.877599
12900.000000, 11.832527
13000.000000, 11.785823
13100.000000, 11.737833
13200.000000, 11.689966
13300.000000, 11.643413
13400.000000, 11.598362
13500.000000, 11.552901
13600.000000, 11.505929
13700.000000, 11.456127
13800.000000, 11.407048
13900.000000, 11.357478
14000.000000, 11.308936
14100.000000, 11.261904
14200.000000, 11.214837
14300.000000, 11.168025
14400.000000, 11.123104
14500.000000, 11.076099
14600.000000, 11.026575
14700.000000, 10.975981
14800.000000, 10.924791
14900.000000, 10.872937
15000.000000, 10.822327
15100.000000, 10.771380
15200.000000, 10.720941
15300.000000, 10.670200
15400.000000, 10.618985
15500.000000, 10.567618
15600.000000, 10.516386
15700.000000, 10.465481
15800.000000, 10.415290
