# Total Data Delivery Ratio
# simtime, appTotalDataDeliveryRatio
100.000000, 0.000000
200.000000, 0.000710
300.000000, 0.001221
400.000000, 0.000931
500.000000, 0.000847
600.000000, 0.000892
700.000000, 0.000910
800.000000, 0.000989
900.000000, 0.001077
1000.000000, 0.000971
1100.000000, 0.000944
1200.000000, 0.000883
1300.000000, 0.000792
1400.000000, 0.000807
1500.000000, 0.001015
1600.000000, 0.001024
1700.000000, 0.001018
1800.000000, 0.001102
1900.000000, 0.001038
2000.000000, 0.001035
2100.000000, 0.001036
2200.000000, 0.001044
2300.000000, 0.001277
2400.000000, 0.001517
2500.000000, 0.001456
2600.000000, 0.001422
2700.000000, 0.001389
2800.000000, 0.001350
2900.000000, 0.001313
3000.000000, 0.001305
3100.000000, 0.001302
3200.000000, 0.001338
3300.000000, 0.001452
3400.000000, 0.001449
3500.000000, 0.001404
3600.000000, 0.001373
3700.000000, 0.001350
3800.000000, 0.001327
3900.000000, 0.001299
4000.000000, 0.001262
4100.000000, 0.001223
4200.000000, 0.001273
4300.000000, 0.001340
4400.000000, 0.001412
4500.000000, 0.001396
4600.000000, 0.001333
4700.000000, 0.001301
4800.000000, 0.001358
4900.000000, 0.001361
5000.000000, 0.001348
5100.000000, 0.001331
5200.000000, 0.001290
5300.000000, 0.001256
5400.000000, 0.001205
5500.000000, 0.001151
5600.000000, 0.001122
5700.000000, 0.001180
5800.000000, 0.001147
5900.000000, 0.001122
6000.000000, 0.001183
6100.000000, 0.001199
6200.000000, 0.001189
6300.000000, 0.001264
6400.000000, 0.001254
6500.000000, 0.001233
6600.000000, 0.001222
6700.000000, 0.001201
6800.000000, 0.001209
6900.000000, 0.001320
7000.000000, 0.001300
7100.000000, 0.001286
7200.000000, 0.001329
7300.000000, 0.001346
7400.000000, 0.001356
7500.000000, 0.001344
7600.000000, 0.001335
7700.000000, 0.001320
7800.000000, 0.001377
7900.000000, 0.001359
8000.000000, 0.001348
8100.000000, 0.001331
8200.000000, 0.001307
8300.000000, 0.001296
8400.000000, 0.001278
8500.000000, 0.001267
8600.000000, 0.001259
8700.000000, 0.001244
8800.000000, 0.001228
8900.000000, 0.001211
9000.000000, 0.001199
9100.000000, 0.001186
9200.000000, 0.001176
9300.000000, 0.001167
9400.000000, 0.001154
9500.000000, 0.001143
9600.000000, 0.001122
9700.000000, 0.001113
9800.000000, 0.001105
9900.000000, 0.001092
10000.000000, 0.001085
10100.000000, 0.001079
10200.000000, 0.001071
10300.000000, 0.001071
10400.000000, 0.001063
10500.000000, 0.001117
10600.000000, 0.001122
10700.000000, 0.001103
10800.000000, 0.001086
10900.000000, 0.001081
11000.000000, 0.001082
11100.000000, 0.001084
11200.000000, 0.001103
