# Total Bytes Sent
# simtime, fwdTotalBytesSent
100.000000, 0
200.000000, 60942782
300.000000, 109786710
400.000000, 109837373
500.000000, 110072145
600.000000, 120285431
700.000000, 120285487
800.000000, 157770305
900.000000, 229898421
1000.000000, 229922201
1100.000000, 230064545
1200.000000, 230405509
1300.000000, 230410041
1400.000000, 260367178
1500.000000, 339779442
1600.000000, 340559226
1700.000000, 372916422
1800.000000, 415737402
1900.000000, 438580040
2000.000000, 468399037
2100.000000, 512766852
2200.000000, 513075072
2300.000000, 552693053
2400.000000, 662747807
2500.000000, 666860143
2600.000000, 667219035
2700.000000, 667823267
2800.000000, 667826523
2900.000000, 746249914
3000.000000, 751214660
3100.000000, 751216296
3200.000000, 763776352
3300.000000, 774618916
3400.000000, 774896931
3500.000000, 775228795
3600.000000, 775954767
3700.000000, 775956391
3800.000000, 776138371
3900.000000, 776871815
4000.000000, 776873439
4100.000000, 777043887
4200.000000, 788974003
4300.000000, 804441505
4400.000000, 811430695
4500.000000, 812281587
4600.000000, 812284687
4700.000000, 812455067
4800.000000, 818632399
4900.000000, 819455495
5000.000000, 819621039
5100.000000, 820565339
5200.000000, 820567251
5300.000000, 820781986
5400.000000, 821707998
5500.000000, 821709910
5600.000000, 822744347
5700.000000, 829307279
5800.000000, 829309219
5900.000000, 829544078
6000.000000, 859700098
6100.000000, 861025779
6200.000000, 873972411
6300.000000, 920523733
6400.000000, 922421973
6500.000000, 923128418
6600.000000, 924301970
6700.000000, 924444228
6800.000000, 932426660
6900.000000, 967421381
7000.000000, 967567607
7100.000000, 974687952
7200.000000, 1073030400
7300.000000, 1080735868
7400.000000, 1083354911
7500.000000, 1094254241
7600.000000, 1100765175
7700.000000, 1114015727
7800.000000, 1172854917
7900.000000, 1174805793
8000.000000, 1174905905
8100.000000, 1176396061
8200.000000, 1178599797
8300.000000, 1212742879
8400.000000, 1214248667
8500.000000, 1214257515
8600.000000, 1214554693
8700.000000, 1216070645
8800.000000, 1216080969
8900.000000, 1216148581
9000.000000, 1217669749
9100.000000, 1217681321
9200.000000, 1217740401
9300.000000, 1219242141
9400.000000, 1219255537
9500.000000, 1219310121
9600.000000, 1220787869
9700.000000, 1220803833
9800.000000, 1220852389
9900.000000, 1222382038
10000.000000, 1222400498
10100.000000, 1222443534
10200.000000, 1228002249
10300.000000, 1228024557
10400.000000, 1228060525
10500.000000, 1322620283
10600.000000, 1338872760
10700.000000, 1340700026
10800.000000, 1342381746
10900.000000, 1342424730
11000.000000, 1342643042
11100.000000, 1366254255
11200.000000, 1403243895
11300.000000, 1403271403
11400.000000, 1404892987
11500.000000, 1404960639
11600.000000, 1404990379
11700.000000, 1419089471
11800.000000, 1423593885
11900.000000, 1423618985
12000.000000, 1425280529
12100.000000, 1425371653
12200.000000, 1425393401
12300.000000, 1469734220
12400.000000, 1470320663
12500.000000, 1470340475
12600.000000, 1481456003
12700.000000, 1502226992
12800.000000, 1502242140
12900.000000, 1504236477
13000.000000, 1504384561
13100.000000, 1504399365
