# Average Neighbourhood Size
# simtime, linkAvgNeighbourSize
100.000000, 4.397778
200.000000, 4.397778
300.000000, 4.397720
400.000000, 4.397596
500.000000, 4.397524
600.000000, 4.397474
700.000000, 4.397438
800.000000, 4.397411
900.000000, 4.397390
1000.000000, 4.397367
1100.000000, 4.397303
1200.000000, 4.397252
1300.000000, 4.397207
1400.000000, 4.397175
1500.000000, 4.397141
1600.000000, 4.397112
1700.000000, 4.397106
1800.000000, 4.397081
1900.000000, 4.397059
2000.000000, 4.397040
2100.000000, 4.397022
2200.000000, 4.397006
2300.000000, 4.396991
2400.000000, 4.396968
2500.000000, 4.396912
2600.000000, 4.396817
2700.000000, 4.396729
2800.000000, 4.396648
2900.000000, 4.396578
3000.000000, 4.396507
3100.000000, 4.396441
3200.000000, 4.396380
3300.000000, 4.396321
3400.000000, 4.396266
3500.000000, 4.396215
3600.000000, 4.396160
3700.000000, 4.396099
3800.000000, 4.396041
3900.000000, 4.395986
4000.000000, 4.395934
4100.000000, 4.395885
4200.000000, 4.395837
4300.000000, 4.395785
4400.000000, 4.394347
4500.000000, 4.392806
4600.000000, 4.391332
4700.000000, 4.389921
4800.000000, 4.388569
4900.000000, 4.387272
5000.000000, 4.386035
5100.000000, 4.384841
5200.000000, 4.383690
5300.000000, 4.382583
5400.000000, 4.381485
5500.000000, 4.380428
5600.000000, 4.379411
5700.000000, 4.378432
5800.000000, 4.377492
5900.000000, 4.376580
6000.000000, 4.375659
6100.000000, 4.373690
6200.000000, 4.371783
6300.000000, 4.369929
6400.000000, 4.368134
6500.000000, 4.366393
6600.000000, 4.364705
6700.000000, 4.363068
6800.000000, 4.361479
6900.000000, 4.359936
7000.000000, 4.358436
7100.000000, 4.356941
7200.000000, 4.355479
7300.000000, 4.354057
7400.000000, 4.352674
7500.000000, 4.351327
7600.000000, 4.350016
7700.000000, 4.348739
7800.000000, 4.347494
7900.000000, 4.346281
8000.000000, 4.345098
8100.000000, 4.343945
8200.000000, 4.342820
8300.000000, 4.341722
8400.000000, 4.340650
8500.000000, 4.339603
8600.000000, 4.338581
8700.000000, 4.337582
8800.000000, 4.336605
8900.000000, 4.335653
9000.000000, 4.334726
9100.000000, 4.333819
9200.000000, 4.332464
9300.000000, 4.330879
9400.000000, 4.328958
9500.000000, 4.326741
9600.000000, 4.324584
9700.000000, 4.322454
9800.000000, 4.320371
9900.000000, 4.318324
10000.000000, 4.316317
10100.000000, 4.314338
10200.000000, 4.312384
10300.000000, 4.310468
10400.000000, 4.308589
10500.000000, 4.306740
10600.000000, 4.304926
10700.000000, 4.303146
10800.000000, 4.301399
10900.000000, 4.299684
11000.000000, 4.298000
11100.000000, 4.296346
11200.000000, 4.294720
11300.000000, 4.293103
11400.000000, 4.291512
11500.000000, 4.289948
11600.000000, 4.288405
11700.000000, 4.286884
11800.000000, 4.285390
11900.000000, 4.283921
12000.000000, 4.282477
12100.000000, 4.281056
12200.000000, 4.279658
12300.000000, 4.278283
12400.000000, 4.276931
12500.000000, 4.275600
12600.000000, 4.274294
12700.000000, 4.273009
12800.000000, 4.271744
12900.000000, 4.270498
13000.000000, 4.269272
13100.000000, 4.268064
13200.000000, 4.266868
13300.000000, 4.265685
13400.000000, 4.264520
13500.000000, 4.263371
13600.000000, 4.262244
13700.000000, 4.261133
13800.000000, 4.260039
13900.000000, 4.258943
14000.000000, 4.257851
14100.000000, 4.256777
14200.000000, 4.255720
14300.000000, 4.254678
