# Total Contact Count
# simtime, linkContactCount
100.000000, 0
200.000000, 0
300.000000, 2
400.000000, 2
500.000000, 4
600.000000, 4
700.000000, 4
800.000000, 4
900.000000, 4
1000.000000, 6
1100.000000, 6
1200.000000, 8
1300.000000, 8
1400.000000, 10
1500.000000, 10
1600.000000, 10
1700.000000, 12
1800.000000, 12
1900.000000, 12
2000.000000, 12
2100.000000, 12
2200.000000, 12
2300.000000, 12
2400.000000, 14
2500.000000, 17
2600.000000, 17
2700.000000, 17
2800.000000, 17
2900.000000, 18
3000.000000, 20
3100.000000, 20
3200.000000, 22
3300.000000, 22
3400.000000, 22
3500.000000, 24
3600.000000, 26
3700.000000, 28
3800.000000, 30
3900.000000, 30
4000.000000, 30
4100.000000, 34
4200.000000, 36
4300.000000, 38
4400.000000, 40
4500.000000, 40
4600.000000, 40
4700.000000, 40
4800.000000, 40
4900.000000, 44
5000.000000, 44
5100.000000, 48
5200.000000, 48
5300.000000, 48
5400.000000, 49
5500.000000, 51
5600.000000, 51
5700.000000, 53
5800.000000, 55
5900.000000, 57
6000.000000, 58
6100.000000, 58
6200.000000, 60
6300.000000, 60
6400.000000, 60
6500.000000, 60
6600.000000, 60
6700.000000, 60
6800.000000, 60
6900.000000, 60
7000.000000, 60
7100.000000, 63
7200.000000, 64
7300.000000, 64
7400.000000, 64
7500.000000, 66
7600.000000, 66
7700.000000, 66
7800.000000, 66
7900.000000, 66
8000.000000, 68
8100.000000, 68
8200.000000, 70
8300.000000, 70
8400.000000, 70
8500.000000, 70
8600.000000, 70
8700.000000, 70
8800.000000, 72
8900.000000, 72
9000.000000, 72
9100.000000, 72
9200.000000, 73
9300.000000, 73
9400.000000, 74
9500.000000, 74
9600.000000, 75
9700.000000, 77
9800.000000, 79
9900.000000, 79
10000.000000, 81
10100.000000, 82
10200.000000, 82
10300.000000, 82
10400.000000, 85
10500.000000, 85
10600.000000, 85
10700.000000, 85
10800.000000, 85
10900.000000, 85
11000.000000, 85
11100.000000, 87
11200.000000, 91
11300.000000, 93
11400.000000, 95
11500.000000, 95
11600.000000, 96
11700.000000, 96
11800.000000, 96
11900.000000, 96
12000.000000, 100
12100.000000, 100
12200.000000, 100
12300.000000, 100
12400.000000, 100
12500.000000, 100
12600.000000, 100
12700.000000, 102
12800.000000, 104
12900.000000, 104
13000.000000, 104
13100.000000, 105
13200.000000, 107
