# Total Data Average Hop Count
# simtime, appTotalDataAvgHopCount
100.000000, 1.000000
200.000000, 1.000000
300.000000, 1.000000
400.000000, 1.000000
500.000000, 1.000000
600.000000, 1.100000
700.000000, 1.321429
800.000000, 1.406250
900.000000, 1.586957
1000.000000, 1.988889
1100.000000, 1.967742
1200.000000, 2.026087
1300.000000, 2.220513
1400.000000, 2.220000
1500.000000, 2.215596
1600.000000, 2.242308
1700.000000, 2.236641
1800.000000, 2.244828
1900.000000, 2.239316
2000.000000, 2.225275
2100.000000, 2.211340
2200.000000, 2.254902
2300.000000, 2.256724
2400.000000, 2.244552
2500.000000, 2.274725
2600.000000, 2.267391
2700.000000, 2.252632
2800.000000, 2.221569
2900.000000, 2.252809
3000.000000, 2.229803
3100.000000, 2.254486
3200.000000, 2.261789
3300.000000, 2.262400
3400.000000, 2.273846
3500.000000, 2.276758
3600.000000, 2.285068
3700.000000, 2.288889
3800.000000, 2.299270
3900.000000, 2.300872
4000.000000, 2.314735
4100.000000, 2.315714
4200.000000, 2.313920
4300.000000, 2.334728
4400.000000, 2.313699
4500.000000, 2.308210
4600.000000, 2.291563
4700.000000, 2.357808
4800.000000, 2.358195
4900.000000, 2.369128
5000.000000, 2.402788
5100.000000, 2.430686
5200.000000, 2.426667
5300.000000, 2.435494
5400.000000, 2.481290
5500.000000, 2.523549
5600.000000, 2.546759
5700.000000, 2.552978
5800.000000, 2.572237
5900.000000, 2.568262
6000.000000, 2.561455
6100.000000, 2.570948
6200.000000, 2.580400
6300.000000, 2.576560
6400.000000, 2.585835
6500.000000, 2.584410
6600.000000, 2.621838
6700.000000, 2.635188
6800.000000, 2.632007
6900.000000, 2.631085
7000.000000, 2.629472
7100.000000, 2.628183
7200.000000, 2.626537
7300.000000, 2.621622
7400.000000, 2.619328
7500.000000, 2.613969
7600.000000, 2.613428
7700.000000, 2.609285
7800.000000, 2.609287
7900.000000, 2.643222
8000.000000, 2.663374
8100.000000, 2.695386
8200.000000, 2.754178
8300.000000, 2.836891
8400.000000, 2.945739
8500.000000, 3.024063
8600.000000, 3.097561
8700.000000, 3.116809
8800.000000, 3.115724
8900.000000, 3.106377
9000.000000, 3.104331
9100.000000, 3.103015
9200.000000, 3.104444
9300.000000, 3.097871
9400.000000, 3.093836
9500.000000, 3.085519
9600.000000, 3.085575
9700.000000, 3.084709
9800.000000, 3.082840
9900.000000, 3.082505
10000.000000, 3.082394
10100.000000, 3.081551
10200.000000, 3.080706
10300.000000, 3.081398
10400.000000, 3.079585
10500.000000, 3.077905
10600.000000, 3.076984
10700.000000, 3.076882
10800.000000, 3.076923
10900.000000, 3.076374
11000.000000, 3.075277
11100.000000, 3.074729
11200.000000, 3.073332
11300.000000, 3.073332
11400.000000, 3.070864
11500.000000, 3.067669
11600.000000, 3.068205
11700.000000, 3.067998
11800.000000, 3.066766
11900.000000, 3.059129
12000.000000, 3.063547
12100.000000, 3.080653
12200.000000, 3.078903
12300.000000, 3.088863
12400.000000, 3.092969
12500.000000, 3.089755
12600.000000, 3.121396
12700.000000, 3.124305
12800.000000, 3.122792
12900.000000, 3.122792
13000.000000, 3.122323
13100.000000, 3.120644
13200.000000, 3.116626
13300.000000, 3.116626
13400.000000, 3.116462
13500.000000, 3.138841
13600.000000, 3.186491
13700.000000, 3.216951
13800.000000, 3.230672
13900.000000, 3.237816
14000.000000, 3.248699
14100.000000, 3.247764
14200.000000, 3.247504
14300.000000, 3.246479
14400.000000, 3.246221
14500.000000, 3.245291
14600.000000, 3.243797
14700.000000, 3.240966
14800.000000, 3.237016
14900.000000, 3.237597
15000.000000, 3.261354
15100.000000, 3.257759
15200.000000, 3.257034
15300.000000, 3.256982
15400.000000, 3.256529
15500.000000, 3.256173
15600.000000, 3.255268
15700.000000, 3.255268
15800.000000, 3.254764
15900.000000, 3.254261
16000.000000, 3.253558
16100.000000, 3.252602
16200.000000, 3.252301
16300.000000, 3.251400
16400.000000, 3.250050
16500.000000, 3.250499
16600.000000, 3.250050
16700.000000, 3.250050
16800.000000, 3.249601
16900.000000, 3.249601
17000.000000, 3.249601
17100.000000, 3.249601
17200.000000, 3.248704
17300.000000, 3.247359
17400.000000, 3.247359
17500.000000, 3.247359
17600.000000, 3.247359
17700.000000, 3.246911
17800.000000, 3.245719
17900.000000, 3.244878
18000.000000, 3.244383
18100.000000, 3.243689
18200.000000, 3.243195
18300.000000, 3.242749
18400.000000, 3.242502
18500.000000, 3.242057
18600.000000, 3.242057
18700.000000, 3.241811
18800.000000, 3.241811
18900.000000, 3.241366
19000.000000, 3.240476
19100.000000, 3.240230
19200.000000, 3.240230
19300.000000, 3.239049
19400.000000, 3.244794
19500.000000, 3.244211
19600.000000, 3.245421
19700.000000, 3.237711
19800.000000, 3.237711
19900.000000, 3.235813
20000.000000, 3.233505
20100.000000, 3.233505
20200.000000, 3.229214
20300.000000, 3.228512
20400.000000, 3.228512
20500.000000, 3.228512
20600.000000, 3.228512
20700.000000, 3.225542
20800.000000, 3.225119
20900.000000, 3.224463
21000.000000, 3.220239
21100.000000, 3.220008
21200.000000, 3.219586
21300.000000, 3.218744
21400.000000, 3.217861
21500.000000, 3.216708
21600.000000, 3.216477
21700.000000, 3.214799
21800.000000, 3.213732
21900.000000, 3.213313
22000.000000, 3.212854
22100.000000, 3.212854
22200.000000, 3.210149
22300.000000, 3.208820
22400.000000, 3.208781
22500.000000, 3.208930
22600.000000, 3.208733
22700.000000, 3.208733
22800.000000, 3.208506
22900.000000, 3.207824
23000.000000, 3.207558
23100.000000, 3.207519
23200.000000, 3.206385
23300.000000, 3.205104
23400.000000, 3.204013
23500.000000, 3.203148
23600.000000, 3.203110
23700.000000, 3.202022
23800.000000, 3.201797
23900.000000, 3.201572
24000.000000, 3.201160
24100.000000, 3.200748
24200.000000, 3.200748
24300.000000, 3.200524
24400.000000, 3.200524
24500.000000, 3.200524
24600.000000, 3.200524
24700.000000, 3.200524
24800.000000, 3.200524
24900.000000, 3.200524
25000.000000, 3.200524
25100.000000, 3.200524
25200.000000, 3.200524
25300.000000, 3.200524
25400.000000, 3.200524
25500.000000, 3.200524
25600.000000, 3.196415
25700.000000, 3.196415
25800.000000, 3.207677
25900.000000, 3.213024
26000.000000, 3.210104
26100.000000, 3.209539
26200.000000, 3.209539
26300.000000, 3.209539
26400.000000, 3.209539
26500.000000, 3.209137
26600.000000, 3.208295
26700.000000, 3.207492
26800.000000, 3.207492
26900.000000, 3.207492
27000.000000, 3.206690
27100.000000, 3.206690
27200.000000, 3.206690
27300.000000, 3.206690
27400.000000, 3.206690
27500.000000, 3.206690
27600.000000, 3.206690
27700.000000, 3.206690
27800.000000, 3.206690
27900.000000, 3.206690
28000.000000, 3.206690
28100.000000, 3.206690
28200.000000, 3.206690
28300.000000, 3.206690
28400.000000, 3.206690
28500.000000, 3.206690
28600.000000, 3.206690
28700.000000, 3.206690
28800.000000, 3.206690
28900.000000, 3.206690
29000.000000, 3.206690
29100.000000, 3.206690
29200.000000, 3.206690
29300.000000, 3.206690
29400.000000, 3.206690
29500.000000, 3.206690
29600.000000, 3.206690
29700.000000, 3.206690
29800.000000, 3.206690
29900.000000, 3.206690
30000.000000, 3.206690
30100.000000, 3.206690
30200.000000, 3.206690
30300.000000, 3.206690
30400.000000, 3.206690
30500.000000, 3.206690
30600.000000, 3.206690
30700.000000, 3.206690
30800.000000, 3.206690
30900.000000, 3.206690
31000.000000, 3.206690
31100.000000, 3.206690
31200.000000, 3.206690
31300.000000, 3.206690
31400.000000, 3.206690
31500.000000, 3.206690
31600.000000, 3.206690
31700.000000, 3.206690
31800.000000, 3.206690
31900.000000, 3.206690
32000.000000, 3.206690
32100.000000, 3.206690
32200.000000, 3.206690
32300.000000, 3.206690
32400.000000, 3.206690
32500.000000, 3.206690
32600.000000, 3.206690
32700.000000, 3.206690
32800.000000, 3.206690
32900.000000, 3.206690
33000.000000, 3.206690
33100.000000, 3.206690
33200.000000, 3.206690
33300.000000, 3.206690
33400.000000, 3.206690
