# Total Data Delivery Ratio
# simtime, appTotalDataDeliveryRatio
100.000000, 0.000349
200.000000, 0.000349
300.000000, 0.000699
400.000000, 0.001398
500.000000, 0.002096
600.000000, 0.003494
700.000000, 0.009783
800.000000, 0.011181
900.000000, 0.016073
1000.000000, 0.031447
1100.000000, 0.030254
1200.000000, 0.036776
1300.000000, 0.058401
1400.000000, 0.054690
1500.000000, 0.054843
1600.000000, 0.062097
1700.000000, 0.058158
1800.000000, 0.060797
1900.000000, 0.073585
2000.000000, 0.076310
2100.000000, 0.080448
2200.000000, 0.084595
2300.000000, 0.083880
2400.000000, 0.082898
2500.000000, 0.089426
2600.000000, 0.089477
2700.000000, 0.088735
2800.000000, 0.092525
2900.000000, 0.093291
3000.000000, 0.093004
3100.000000, 0.098017
3200.000000, 0.095899
3300.000000, 0.096659
3400.000000, 0.097335
3500.000000, 0.095656
3600.000000, 0.096226
3700.000000, 0.096484
3800.000000, 0.096452
3900.000000, 0.096874
4000.000000, 0.096268
4100.000000, 0.094340
4200.000000, 0.091607
4300.000000, 0.090189
4400.000000, 0.091216
4500.000000, 0.090444
4600.000000, 0.093874
4700.000000, 0.111934
4800.000000, 0.121968
4900.000000, 0.132297
5000.000000, 0.148653
5100.000000, 0.162068
5200.000000, 0.169811
5300.000000, 0.175994
5400.000000, 0.182075
5500.000000, 0.185230
5600.000000, 0.189890
5700.000000, 0.186419
5800.000000, 0.182578
5900.000000, 0.183592
6000.000000, 0.187207
6100.000000, 0.191348
6200.000000, 0.192526
6300.000000, 0.191026
6400.000000, 0.188856
6500.000000, 0.187641
6600.000000, 0.191484
6700.000000, 0.196209
6800.000000, 0.195975
6900.000000, 0.191293
7000.000000, 0.188519
7100.000000, 0.187565
7200.000000, 0.185456
7300.000000, 0.183112
7400.000000, 0.181071
7500.000000, 0.179021
7600.000000, 0.178131
7700.000000, 0.178695
7800.000000, 0.182682
7900.000000, 0.183980
8000.000000, 0.186693
8100.000000, 0.194571
8200.000000, 0.199223
8300.000000, 0.205695
8400.000000, 0.212637
8500.000000, 0.220439
8600.000000, 0.227686
8700.000000, 0.233192
8800.000000, 0.230411
8900.000000, 0.229787
9000.000000, 0.229775
9100.000000, 0.229101
9200.000000, 0.227935
9300.000000, 0.226729
9400.000000, 0.225546
9500.000000, 0.224940
9600.000000, 0.225496
9700.000000, 0.222738
9800.000000, 0.222701
9900.000000, 0.222176
10000.000000, 0.216981
10100.000000, 0.215798
10200.000000, 0.215914
10300.000000, 0.214237
10400.000000, 0.212873
10500.000000, 0.211828
10600.000000, 0.210282
10700.000000, 0.207492
10800.000000, 0.206293
10900.000000, 0.205162
11000.000000, 0.204097
11100.000000, 0.202416
11200.000000, 0.200359
11300.000000, 0.199800
11400.000000, 0.198952
11500.000000, 0.199927
11600.000000, 0.199959
11700.000000, 0.200111
11800.000000, 0.201425
11900.000000, 0.201225
12000.000000, 0.200533
12100.000000, 0.201127
12200.000000, 0.202149
12300.000000, 0.206338
12400.000000, 0.208657
12500.000000, 0.207547
12600.000000, 0.211017
12700.000000, 0.208988
12800.000000, 0.209911
12900.000000, 0.207869
13000.000000, 0.205415
13100.000000, 0.204658
13200.000000, 0.204537
13300.000000, 0.204051
13400.000000, 0.202797
13500.000000, 0.204322
13600.000000, 0.206103
13700.000000, 0.205725
13800.000000, 0.205518
13900.000000, 0.204552
14000.000000, 0.205114
14100.000000, 0.204275
14200.000000, 0.203401
14300.000000, 0.201983
14400.000000, 0.200249
14500.000000, 0.199455
14600.000000, 0.197074
14700.000000, 0.195669
14800.000000, 0.195614
14900.000000, 0.195825
15000.000000, 0.197154
15100.000000, 0.196274
15200.000000, 0.196828
15300.000000, 0.196867
15400.000000, 0.195676
15500.000000, 0.194982
15600.000000, 0.193853
15700.000000, 0.193057
15800.000000, 0.192739
15900.000000, 0.191249
16000.000000, 0.189401
16100.000000, 0.187404
16200.000000, 0.186736
16300.000000, 0.186074
16400.000000, 0.185603
16500.000000, 0.185714
16600.000000, 0.185751
16700.000000, 0.185024
16800.000000, 0.184699
16900.000000, 0.184339
17000.000000, 0.183981
17100.000000, 0.183268
17200.000000, 0.183341
17300.000000, 0.182390
17400.000000, 0.182390
17500.000000, 0.180995
17600.000000, 0.180650
17700.000000, 0.178978
17800.000000, 0.178110
17900.000000, 0.177620
18000.000000, 0.176042
18100.000000, 0.175138
18200.000000, 0.174884
18300.000000, 0.174277
18400.000000, 0.173675
18500.000000, 0.173076
18600.000000, 0.172448
18700.000000, 0.172482
18800.000000, 0.172170
18900.000000, 0.171893
19000.000000, 0.171341
19100.000000, 0.171375
19200.000000, 0.171067
19300.000000, 0.170589
19400.000000, 0.171190
19500.000000, 0.172531
19600.000000, 0.173525
19700.000000, 0.173919
19800.000000, 0.173000
19900.000000, 0.172962
20000.000000, 0.171882
20100.000000, 0.170104
20200.000000, 0.169424
20300.000000, 0.167797
20400.000000, 0.166667
20500.000000, 0.166387
20600.000000, 0.165829
20700.000000, 0.165496
20800.000000, 0.164977
20900.000000, 0.164220
21000.000000, 0.163989
21100.000000, 0.162678
21200.000000, 0.162178
21300.000000, 0.161188
21400.000000, 0.160241
21500.000000, 0.159621
21600.000000, 0.158888
21700.000000, 0.158251
21800.000000, 0.158341
21900.000000, 0.156630
22000.000000, 0.156199
22100.000000, 0.155469
22200.000000, 0.154589
22300.000000, 0.154496
22400.000000, 0.153577
22500.000000, 0.153371
22600.000000, 0.152580
22700.000000, 0.151657
22800.000000, 0.151000
22900.000000, 0.150858
