# Total Bytes Sent
# simtime, fwdTotalBytesSent
100.000000, 10790
200.000000, 10790
300.000000, 62100
400.000000, 70832
500.000000, 128536
600.000000, 327009
700.000000, 662027
800.000000, 751148
900.000000, 1099437
1000.000000, 2228708
1100.000000, 2295643
1200.000000, 2822056
1300.000000, 5181178
1400.000000, 5301862
1500.000000, 5859374
1600.000000, 7363174
1700.000000, 7406231
1800.000000, 8356173
1900.000000, 10467756
2000.000000, 10833743
2100.000000, 11700768
2200.000000, 12408338
2300.000000, 12449948
2400.000000, 12581556
2500.000000, 14375817
2600.000000, 14490830
2700.000000, 14867607
2800.000000, 16248729
2900.000000, 16418488
3000.000000, 17067653
3100.000000, 18832709
3200.000000, 18835813
3300.000000, 19168832
3400.000000, 20079206
3500.000000, 20147531
3600.000000, 20522973
3700.000000, 20908428
3800.000000, 21162963
3900.000000, 21248971
4000.000000, 21536587
4100.000000, 21555386
4200.000000, 21646016
4300.000000, 21956119
4400.000000, 22361699
4500.000000, 23542769
4600.000000, 26912037
4700.000000, 30818721
4800.000000, 33323640
4900.000000, 38166015
5000.000000, 42677208
5100.000000, 44849935
5200.000000, 46650936
5300.000000, 50117709
5400.000000, 51106407
5500.000000, 53199682
5600.000000, 54084202
5700.000000, 54491918
5800.000000, 55591068
5900.000000, 56526892
6000.000000, 57772587
6100.000000, 58913012
6200.000000, 59390306
6300.000000, 59649463
6400.000000, 59783827
6500.000000, 60505108
6600.000000, 63599592
6700.000000, 66295834
6800.000000, 66877440
6900.000000, 66972034
7000.000000, 67037941
7100.000000, 67091687
7200.000000, 67171953
7300.000000, 67553107
7400.000000, 67829222
7500.000000, 68042536
7600.000000, 68203385
7700.000000, 71012085
7800.000000, 74614282
7900.000000, 74840655
8000.000000, 77543464
8100.000000, 81906068
8200.000000, 85785286
8300.000000, 91124825
8400.000000, 99270328
8500.000000, 104488641
8600.000000, 108780406
8700.000000, 109591438
8800.000000, 109698145
8900.000000, 110414254
9000.000000, 110816874
9100.000000, 111550657
9200.000000, 112378514
9300.000000, 112907870
9400.000000, 113333998
9500.000000, 114058996
9600.000000, 114502921
9700.000000, 114801506
9800.000000, 115290365
9900.000000, 115374925
10000.000000, 115503084
10100.000000, 115739721
10200.000000, 115803029
10300.000000, 115942419
10400.000000, 116345293
10500.000000, 116397440
10600.000000, 116651799
10700.000000, 116783809
10800.000000, 117088697
10900.000000, 117097194
11000.000000, 117191985
11100.000000, 117236641
11200.000000, 117374976
11300.000000, 117526056
11400.000000, 121964714
11500.000000, 122217550
11600.000000, 122225110
11700.000000, 122350773
11800.000000, 125692701
11900.000000, 125851959
12000.000000, 127311083
12100.000000, 127353713
12200.000000, 132736368
12300.000000, 133165892
12400.000000, 133370457
12500.000000, 138332729
12600.000000, 138386731
12700.000000, 138390527
12800.000000, 138706516
12900.000000, 138713504
13000.000000, 138761110
13100.000000, 139084192
13200.000000, 139625635
13300.000000, 139632699
13400.000000, 140542274
13500.000000, 142812140
13600.000000, 143836808
13700.000000, 144937507
13800.000000, 144963056
13900.000000, 145601614
14000.000000, 146270912
14100.000000, 146305809
14200.000000, 146330761
14300.000000, 146831427
14400.000000, 146849368
14500.000000, 146906641
14600.000000, 147019183
14700.000000, 147381854
14800.000000, 147515398
14900.000000, 150111549
15000.000000, 150291078
15100.000000, 150504919
15200.000000, 151109510
15300.000000, 151168092
15400.000000, 151191330
15500.000000, 151309768
15600.000000, 151339920
15700.000000, 151345872
15800.000000, 151373392
15900.000000, 151388000
16000.000000, 151455504
16100.000000, 151608580
16200.000000, 151665573
16300.000000, 151725195
16400.000000, 151857735
16500.000000, 151940197
16600.000000, 151994174
16700.000000, 152005354
16800.000000, 152049814
16900.000000, 152057910
17000.000000, 152064294
17100.000000, 152073594
17200.000000, 152136312
17300.000000, 152224087
17400.000000, 152233407
17500.000000, 152241883
17600.000000, 152248291
17700.000000, 152306578
