# Average Neighbourhood Size
# simtime, linkAvgNeighbourSize
100.000000, 0.137222
200.000000, 0.170463
300.000000, 0.226111
400.000000, 0.313981
500.000000, 0.409667
600.000000, 0.480895
700.000000, 0.562169
800.000000, 0.642361
900.000000, 0.715247
1000.000000, 0.802093
1100.000000, 0.883215
1200.000000, 0.952284
1300.000000, 1.020627
1400.000000, 1.078545
1500.000000, 1.127148
1600.000000, 1.170984
1700.000000, 1.206678
1800.000000, 1.239136
1900.000000, 1.271131
2000.000000, 1.301815
2100.000000, 1.329780
2200.000000, 1.356178
2300.000000, 1.379944
2400.000000, 1.405278
2500.000000, 1.429178
2600.000000, 1.451296
2700.000000, 1.471763
2800.000000, 1.489901
2900.000000, 1.508691
3000.000000, 1.525395
3100.000000, 1.540711
3200.000000, 1.554334
3300.000000, 1.564826
3400.000000, 1.572881
3500.000000, 1.577820
3600.000000, 1.575905
3700.000000, 1.572538
3800.000000, 1.565984
3900.000000, 1.556182
4000.000000, 1.546134
4100.000000, 1.535700
4200.000000, 1.525635
4300.000000, 1.516352
4400.000000, 1.509381
4500.000000, 1.506761
4600.000000, 1.510419
4700.000000, 1.522167
4800.000000, 1.536844
4900.000000, 1.553144
5000.000000, 1.571448
5100.000000, 1.594070
5200.000000, 1.615395
5300.000000, 1.635825
5400.000000, 1.655700
5500.000000, 1.676057
5600.000000, 1.695225
5700.000000, 1.712710
5800.000000, 1.728867
5900.000000, 1.745053
6000.000000, 1.761698
6100.000000, 1.777790
6200.000000, 1.793536
6300.000000, 1.810253
6400.000000, 1.826395
6500.000000, 1.842265
6600.000000, 1.857197
6700.000000, 1.871056
6800.000000, 1.882146
6900.000000, 1.887324
7000.000000, 1.887148
7100.000000, 1.885746
7200.000000, 1.882418
7300.000000, 1.878541
7400.000000, 1.873761
7500.000000, 1.869153
7600.000000, 1.865222
7700.000000, 1.861246
7800.000000, 1.857571
7900.000000, 1.854137
8000.000000, 1.852097
8100.000000, 1.850533
8200.000000, 1.849246
8300.000000, 1.847863
8400.000000, 1.846675
8500.000000, 1.845706
8600.000000, 1.845947
8700.000000, 1.846207
8800.000000, 1.846052
8900.000000, 1.845988
9000.000000, 1.845893
9100.000000, 1.846005
9200.000000, 1.845666
9300.000000, 1.845219
9400.000000, 1.844618
9500.000000, 1.843733
9600.000000, 1.842967
9700.000000, 1.842243
9800.000000, 1.841610
9900.000000, 1.840572
10000.000000, 1.839689
10100.000000, 1.838322
10200.000000, 1.836529
10300.000000, 1.832456
10400.000000, 1.826571
10500.000000, 1.819564
10600.000000, 1.810961
10700.000000, 1.799676
10800.000000, 1.788049
10900.000000, 1.774927
11000.000000, 1.762094
11100.000000, 1.749264
11200.000000, 1.736528
11300.000000, 1.724254
11400.000000, 1.712026
11500.000000, 1.700335
11600.000000, 1.688844
11700.000000, 1.677733
11800.000000, 1.666744
11900.000000, 1.656086
