# Total Data Delivery Ratio
# simtime, appTotalDataDeliveryRatio
100.000000, 0.000349
200.000000, 0.000349
300.000000, 0.000699
400.000000, 0.001398
500.000000, 0.002096
600.000000, 0.003494
700.000000, 0.009783
800.000000, 0.011181
900.000000, 0.016073
1000.000000, 0.031447
1100.000000, 0.032495
1200.000000, 0.040182
1300.000000, 0.063592
1400.000000, 0.063941
1500.000000, 0.066038
1600.000000, 0.070929
1700.000000, 0.070929
1800.000000, 0.072676
1900.000000, 0.074074
2000.000000, 0.074423
2100.000000, 0.076171
2200.000000, 0.076171
2300.000000, 0.076171
2400.000000, 0.076171
2500.000000, 0.081412
2600.000000, 0.081412
2700.000000, 0.082110
2800.000000, 0.085604
2900.000000, 0.086303
3000.000000, 0.086653
3100.000000, 0.087002
3200.000000, 0.087002
3300.000000, 0.087002
3400.000000, 0.087002
3500.000000, 0.087002
3600.000000, 0.087002
3700.000000, 0.087002
3800.000000, 0.087002
3900.000000, 0.087002
4000.000000, 0.087002
4100.000000, 0.087002
4200.000000, 0.087002
4300.000000, 0.087002
4400.000000, 0.088050
4500.000000, 0.091195
4600.000000, 0.099930
4700.000000, 0.123690
4800.000000, 0.125087
4900.000000, 0.135220
5000.000000, 0.152341
5100.000000, 0.158980
5200.000000, 0.163522
5300.000000, 0.172956
5400.000000, 0.176799
5500.000000, 0.182390
5600.000000, 0.183438
5700.000000, 0.183788
5800.000000, 0.184137
5900.000000, 0.184137
6000.000000, 0.184137
6100.000000, 0.184137
6200.000000, 0.184137
6300.000000, 0.184486
6400.000000, 0.184486
6500.000000, 0.184836
6600.000000, 0.197065
6700.000000, 0.197065
6800.000000, 0.197065
6900.000000, 0.197065
7000.000000, 0.197065
7100.000000, 0.197065
7200.000000, 0.197065
7300.000000, 0.197065
7400.000000, 0.197065
7500.000000, 0.197065
7600.000000, 0.197065
7700.000000, 0.201607
7800.000000, 0.208945
7900.000000, 0.214186
8000.000000, 0.216981
8100.000000, 0.233753
8200.000000, 0.242138
8300.000000, 0.259259
8400.000000, 0.274983
8500.000000, 0.274983
8600.000000, 0.280224
8700.000000, 0.280224
8800.000000, 0.280224
8900.000000, 0.280224
9000.000000, 0.280224
9100.000000, 0.280224
9200.000000, 0.262524
9300.000000, 0.259674
9400.000000, 0.252706
9500.000000, 0.244104
9600.000000, 0.222429
9700.000000, 0.217107
9800.000000, 0.207547
9900.000000, 0.194969
10000.000000, 0.190776
10100.000000, 0.195807
10200.000000, 0.198113
10300.000000, 0.198952
10400.000000, 0.200839
10500.000000, 0.200839
10600.000000, 0.201048
10700.000000, 0.201048
10800.000000, 0.203145
10900.000000, 0.203145
11000.000000, 0.203145
11100.000000, 0.203145
11200.000000, 0.203145
11300.000000, 0.203145
11400.000000, 0.204822
11500.000000, 0.212369
11600.000000, 0.213627
11700.000000, 0.213627
11800.000000, 0.213627
11900.000000, 0.213836
12000.000000, 0.215094
12100.000000, 0.215304
12200.000000, 0.221024
12300.000000, 0.221232
12400.000000, 0.219032
12500.000000, 0.220263
12600.000000, 0.223778
12700.000000, 0.223778
12800.000000, 0.221397
12900.000000, 0.219067
13000.000000, 0.219067
13100.000000, 0.216785
13200.000000, 0.216981
13300.000000, 0.216981
13400.000000, 0.217374
13500.000000, 0.216495
13600.000000, 0.215441
13700.000000, 0.216596
13800.000000, 0.210163
13900.000000, 0.210163
14000.000000, 0.210163
14100.000000, 0.210163
14200.000000, 0.210163
14300.000000, 0.208287
14400.000000, 0.204282
14500.000000, 0.204282
14600.000000, 0.204282
14700.000000, 0.204282
14800.000000, 0.200427
14900.000000, 0.201673
15000.000000, 0.199788
15100.000000, 0.197939
15200.000000, 0.197939
15300.000000, 0.197939
15400.000000, 0.197939
15500.000000, 0.197939
15600.000000, 0.197939
15700.000000, 0.197939
15800.000000, 0.197939
15900.000000, 0.197939
16000.000000, 0.197939
16100.000000, 0.197939
16200.000000, 0.197939
16300.000000, 0.197939
16400.000000, 0.197939
16500.000000, 0.197939
16600.000000, 0.197939
16700.000000, 0.197939
16800.000000, 0.197939
16900.000000, 0.197939
17000.000000, 0.197939
17100.000000, 0.197939
17200.000000, 0.197939
17300.000000, 0.197939
17400.000000, 0.197939
17500.000000, 0.197939
17600.000000, 0.197939
17700.000000, 0.197939
17800.000000, 0.197939
17900.000000, 0.197939
18000.000000, 0.197939
18100.000000, 0.197939
18200.000000, 0.197939
18300.000000, 0.196123
18400.000000, 0.196123
18500.000000, 0.196123
18600.000000, 0.194340
18700.000000, 0.189347
18800.000000, 0.187852
18900.000000, 0.186382
19000.000000, 0.180910
19100.000000, 0.178076
19200.000000, 0.172528
19300.000000, 0.166618
19400.000000, 0.166714
19500.000000, 0.163063
19600.000000, 0.161531
19700.000000, 0.158517
19800.000000, 0.157409
19900.000000, 0.156578
20000.000000, 0.156840
20100.000000, 0.156840
20200.000000, 0.156840
20300.000000, 0.156840
20400.000000, 0.156840
20500.000000, 0.156840
20600.000000, 0.156840
20700.000000, 0.156971
20800.000000, 0.156971
20900.000000, 0.156971
21000.000000, 0.157102
21100.000000, 0.157102
21200.000000, 0.157102
21300.000000, 0.157102
21400.000000, 0.157102
21500.000000, 0.157102
21600.000000, 0.157102
21700.000000, 0.157102
21800.000000, 0.156018
21900.000000, 0.156018
22000.000000, 0.156018
22100.000000, 0.156018
22200.000000, 0.156018
22300.000000, 0.156018
22400.000000, 0.156018
22500.000000, 0.156018
22600.000000, 0.156018
22700.000000, 0.156018
22800.000000, 0.156018
22900.000000, 0.156018
