# Total Bytes Sent
# simtime, fwdTotalBytesSent
100.000000, 10790
200.000000, 10790
300.000000, 62100
400.000000, 70832
500.000000, 128536
600.000000, 327009
700.000000, 662027
800.000000, 751148
900.000000, 1099437
1000.000000, 2228708
1100.000000, 2295643
1200.000000, 2822056
1300.000000, 4548950
1400.000000, 4573495
1500.000000, 4691013
1600.000000, 5074035
1700.000000, 5074711
1800.000000, 5220970
1900.000000, 5370489
2000.000000, 5371357
2100.000000, 5480795
2200.000000, 5486159
2300.000000, 5486967
2400.000000, 5489611
2500.000000, 5843789
2600.000000, 5844725
2700.000000, 5919579
2800.000000, 6277533
2900.000000, 6350843
3000.000000, 6390082
3100.000000, 6430741
3200.000000, 6432145
3300.000000, 6435401
3400.000000, 6439545
3500.000000, 6440781
3600.000000, 6443333
3700.000000, 6446773
3800.000000, 6447997
3900.000000, 6449769
4000.000000, 6452737
4100.000000, 6453925
4200.000000, 6455701
4300.000000, 6458325
4400.000000, 6572845
4500.000000, 7068682
4600.000000, 7842333
4700.000000, 9277797
4800.000000, 9391219
4900.000000, 10414130
5000.000000, 11313237
5100.000000, 11640840
5200.000000, 11925382
5300.000000, 12521359
5400.000000, 12638696
5500.000000, 12953986
5600.000000, 12991618
5700.000000, 13006182
5800.000000, 13022786
5900.000000, 13028018
6000.000000, 13032038
6100.000000, 13037330
6200.000000, 13042954
6300.000000, 13060916
6400.000000, 13065620
6500.000000, 13081964
6600.000000, 13919430
6700.000000, 13924890
6800.000000, 13929074
6900.000000, 13932894
7000.000000, 13936114
7100.000000, 13939058
7200.000000, 13941710
7300.000000, 13944590
7400.000000, 13947522
7500.000000, 13950338
7600.000000, 13952498
7700.000000, 14256339
7800.000000, 15104799
7900.000000, 15107139
8000.000000, 15301390
8100.000000, 16572878
8200.000000, 16998454
8300.000000, 18539579
8400.000000, 19427046
8500.000000, 19430414
8600.000000, 19776830
8700.000000, 19780526
8800.000000, 19783726
8900.000000, 19791670
9000.000000, 19795490
9100.000000, 19799102
9200.000000, 19955120
9300.000000, 20043734
9400.000000, 20132480
9500.000000, 20351261
9600.000000, 20599539
9700.000000, 21202384
9800.000000, 21896761
9900.000000, 22225063
10000.000000, 22574167
10100.000000, 23302536
10200.000000, 23541767
10300.000000, 23605085
10400.000000, 23687249
10500.000000, 23689957
10600.000000, 23696160
10700.000000, 23698908
10800.000000, 23929412
10900.000000, 23930148
11000.000000, 23932036
11100.000000, 23933260
11200.000000, 23934684
11300.000000, 23980854
11400.000000, 24972346
11500.000000, 25235288
11600.000000, 25372726
11700.000000, 25373822
11800.000000, 25374446
11900.000000, 25421344
12000.000000, 25558554
12100.000000, 25565659
12200.000000, 26497464
12300.000000, 26499232
12400.000000, 26514792
12500.000000, 27284796
12600.000000, 27300864
12700.000000, 27301920
12800.000000, 27304276
12900.000000, 27306148
13000.000000, 27308172
13100.000000, 27310756
13200.000000, 27327308
13300.000000, 27329064
13400.000000, 27360592
13500.000000, 27513002
13600.000000, 27650252
13700.000000, 27787866
13800.000000, 27789386
13900.000000, 27791170
14000.000000, 27793070
14100.000000, 27794450
14200.000000, 27796234
14300.000000, 27814062
14400.000000, 27815442
14500.000000, 27817238
14600.000000, 27820166
14700.000000, 27822566
14800.000000, 27824134
14900.000000, 27976660
15000.000000, 27979000
15100.000000, 27980568
15200.000000, 27982860
15300.000000, 27985440
15400.000000, 27987008
15500.000000, 27989124
15600.000000, 27991920
15700.000000, 27993260
15800.000000, 27995376
15900.000000, 27997932
16000.000000, 27999056
16100.000000, 28001080
16200.000000, 28003564
16300.000000, 28004904
16400.000000, 28006700
16500.000000, 28009496
16600.000000, 28011292
16700.000000, 28013664
16800.000000, 28016460
16900.000000, 28018256
17000.000000, 28019624
17100.000000, 28021736
17200.000000, 28023560
17300.000000, 28024928
17400.000000, 28027040
17500.000000, 28028864
17600.000000, 28030232
17700.000000, 28032116
